Card Name,Card Description,List Name,Labels,Due Date
AWS-02 — Cache real (DynamoDB / lookup S3),"[HECHO ✓ logica validada; requiere redeploy del lambda] **Epic:** AWS/Backend | **Tipo:** Backend

Cache sobre S3 (sin DynamoDB): la respuesta completa se guarda en lsb-to-text-audio/cache/<cache_key>.json. Peticiones identicas posteriores devuelven cacheHit:true SIN invocar Nova ni Polly; solo se regenera la URL prefirmada del MP3. Degrada con elegancia si S3 falla. Requiere s3:GetObject en el rol IAM.

**Archivos:** aws/lambda_function.py (get_cached_response, put_cached_response, handler)",Done,"Done, Importante, Backend, AWS-Backend, Prioridad media",
TD-03 — Voz/idioma local consistente (parcial),"[HECHO ✓] **Epic:** Audio y fallback / Deuda | **Tipo:** Deuda

El TTS local ya no esta fijo en es-MX: elige el primer locale de español disponible en el dispositivo segun una preferencia (es-US primero, para sonar coherente con la voz remota de Polly Lupe/es-US), con fallback a es-MX/es-419/es-ES/es. Junto con RDS-02 (el backend honra `language`), la voz online y offline quedan alineadas.

**Archivos:** data/services/audio_output.dart",Done,"Done, Opcional, Deuda, Audio-fallback, Prioridad baja",
A11Y-01 — Semantics en todas las tarjetas y botones,"[HECHO ✓ verificado con flutter test] **Epic:** Accesibilidad | **Tipo:** A11y

Semantics(button:true, label, excludeSemantics) en las tarjetas de respuesta (card_grid), las tarjetas de contexto (context_selection), el boton TRADUCIR (home_screen) y los botones de accion del resultado (_FullWidthBtn). Cubierto por test/accessibility_semantics_test.dart y asserts en el test de flujo.

**Archivos:** card_grid.dart, context_selection_widget.dart, home_screen.dart, declaration_result_screen.dart",Done,"Done, Opcional, A11y, Accesibilidad, Prioridad baja",
DONE-A — Motor semantico local con roles gramaticales,"[YA EXISTÍA ✓] **Epic:** Dominio — local_sentence_assembler.dart (865 líneas): clasificación por rol, compositores por contexto, concordancia género/plural, regla de cobertura _ensureCoverage. Núcleo defendible.",Done,"Done, Dominio",
DONE-B — Estrategia hibrida con fallback degradado,"[YA EXISTÍA ✓, reforzado] **Epic:** Audio y fallback — siempre entrega texto + audio (Polly o TTS local). Ahora más robusto con timeout (RDS-01) y audio inyectable (ARCH-01).",Done,"Done, Audio-fallback",
DONE-C — Deteccion de degeneracion del backend,"[YA EXISTÍA ✓] **Epic:** Dominio — isBackendDegenerate: tolerante a guiones bajos, acentos y conjugación; evita falsos positivos. Cubierto por pruebas (y ahora también por TST-01).",Done,"Done, Dominio",
DONE-D — Suite de pruebas del ensamblador,[YA EXISTÍA ✓] **Epic:** Pruebas — local_sentence_assembler_test.dart y semantic_coverage_test.dart: cobertura semántica real por institución y contexto.,Done,"Done, Pruebas",
DONE-E — Fusion de contextos orientacion,[YA EXISTÍA ✓] **Epic:** Dominio — kContextCardSources + resolveAssemblerContext sin tocar datasource ni motor. Ahora el contexto resuelto ya no contamina el backend (RVP-03).,Done,"Done, Dominio",
DONE-F — Clean Architecture en la rama de tarjetas,"[YA EXISTÍA ✓, ampliado] **Epic:** Dominio — datasource -> repo -> usecase -> provider. Ahora también la salida de audio está tras una abstracción inyectable (ARCH-01).",Done,"Done, Dominio",
AWS-03 — Integracion Nova 2 Lite + guardia anti-alucinacion,"[HECHO ✓ desplegado y verificado en AWS] **Epic:** AWS/Backend | **Tipo:** Mejora

Bedrock pasa de un modelo legacy (Titan, caido) a Amazon Nova 2 Lite, ACTIVO y funcionando. Incluye: soporte del formato de peticion/respuesta de Nova, parser robusto ante encabezados/markdown, prompt apto para modelo de chat con regla anti-invencion, y un guardia anti-alucinacion en el backend (descarta el refinamiento si no comparte contenido con la oracion base, espejo del isBackendDegenerate del cliente). Modelo por defecto: global.amazon.nova-2-lite-v1:0.

**Archivos:** aws/lambda_function.py (_build_bedrock_request_body, _parse_bedrock_response, _refinement_is_safe, refine_with_bedrock, prompt)",Done,"Done, Mejora, AWS-Backend",
