nodo;seccion;subseccion;fila;frase;conceptosCorpus;intencion;ambito;hablante;acto;modos;ranuras;polaridad;glosasDeLaFila;salidas;interrogativas;fueraDeRanura;pendientes;mecanismos;diagnostico;preguntaBanco;zonaMostradaHoy;preguntaMostradaHoy;usoEnLaApp
n-s6-acceso_comunicativ-11;6;Acceso comunicativo e identificación;11;¿Prefiere recibir avisos por mensaje escrito?;AVISAR · ESCRIBIR · ENVIAR · MEJOR;PREFERENCIA_AVISO;identificacion;hearing;question;C;polarity;SÍ|NO;AVISAR|ESCRIBIR|ENVIAR|MEJOR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ID.AVISO;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-12;6;Acceso comunicativo e identificación;12;¿Vino solo o acompañado?;TÚ · NÚM(1) · VENIR / ACOMPAÑAR;ACOMPAÑANTE;identificacion;hearing;question;C;polarity|person;SÍ|NO;TÚ|VENIR;NO_SABER;;VENIR;;NÚM(1);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.ID.ACOMPANANTE;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-01;6;Inicio de denuncia y relato básico;1;¿Desea presentar una denuncia?;PRESENTAR · [DENUNCIA];INTENCION_DENUNCIA;denuncia_robo;hearing;question;C;polarity;SÍ|NO;PRESENTAR;NO_SABER;;;;[DENUNCIA];glosas_del_enunciado_como_respuesta;Q.DEN.INTENCION;denuncia;¿Desea presentar una denuncia formal?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-02;6;Inicio de denuncia y relato básico;2;¿Qué ocurrió?;TÚ · NARRAR · ¿QUÉ?;RELATO_ABIERTO;denuncia_robo;hearing;question;C;free_text;;TÚ|NARRAR|QUÉ;NO_SABER;QUÉ;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta;Q.HEC.QUE_OCURRIO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-03;6;Inicio de denuncia y relato básico;3;¿Puede contarme lo sucedido desde el inicio?;NARRAR · EMPEZAR · PRIMERA-VEZ;RELATO_ORDENADO;denuncia_robo;hearing;question;C;polarity|free_text;SÍ|NO;NARRAR|EMPEZAR|PRIMERA_VEZ;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.HEC.RELATO_ORDENADO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-04;6;Inicio de denuncia y relato básico;4;¿Cuándo ocurrió?;¿CUÁNDO? · FECHA · HORA;TIEMPO_HECHO;denuncia_robo;hearing;question;C;time;;CUÁNDO|FECHA|HORA;NO_SABER;CUÁNDO;CUÁNDO;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.TIE.CUANDO;tiempo;¿Cuándo ocurrió el hecho?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-05;6;Inicio de denuncia y relato básico;5;¿Fue hoy, ayer o antes?;HOY · AYER · PASADO;TIEMPO_APROX;denuncia_robo;hearing;question;C;polarity|time;SÍ|NO;HOY|AYER|PASADO;NO_SABER;;;;;glosas_del_enunciado_como_respuesta|disyuntiva_tratada_como_si_no;Q.TIE.APROX;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-06;6;Inicio de denuncia y relato básico;6;¿A qué hora aproximadamente?;HORA · ¿CUÁNTOS? · MÁS-O-MENOS;HORA_HECHO;denuncia_robo;hearing;question;C;polarity|time;SÍ|NO;HORA|CUÁNTOS|MÁS_O_MENOS;NO_SABER;CUÁNTOS;CUÁNTOS;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.TIE.HORA;tiempo;¿Cuándo ocurrió el hecho?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-07;6;Inicio de denuncia y relato básico;7;¿Dónde ocurrió?;¿DÓNDE?;LUGAR_HECHO;denuncia_robo;hearing;question;C;place;;DÓNDE;NO_SABER;DÓNDE;DÓNDE;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.LUG.DONDE;lugar;¿Dónde ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-08;6;Inicio de denuncia y relato básico;8;¿Ocurrió dentro o fuera del lugar?;DENTRO · FUERA · ¿CUÁL?;POSICION_LUGAR;denuncia_robo;hearing;question;C;polarity|place;SÍ|NO;DENTRO|FUERA|CUÁL;NO_SABER;CUÁL;CUÁL;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.LUG.DENTRO_FUERA;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-09;6;Inicio de denuncia y relato básico;9;¿Conoce a la persona involucrada?;TÚ · ÉL/ELLA · CONOCER;CONOCIMIENTO_PERSONA;denuncia_robo;hearing;question;C;polarity|person;SÍ|NO;TÚ|ÉL|CONOCER;NO_SABER;;CONOCER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.PER.CONOCE;conocimiento;¿Conoce a esa persona?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-10;6;Inicio de denuncia y relato básico;10;¿Puede identificarla si la vuelve a ver?;IDENTIFICAR · VOLVER · VER · PUEDO;RECONOCIMIENTO;denuncia_robo;hearing;question;C;polarity;SÍ|NO;IDENTIFICAR|VOLVER|VER|PUEDO;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.PER.RECONOCE;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-11;6;Inicio de denuncia y relato básico;11;¿Había otras personas presentes?;HOMBRE · MUJER · ALLÍ · TENER;PRESENCIA_OTROS;denuncia_robo;hearing;question;C;polarity|person;SÍ|NO;HOMBRE|MUJER|ALLÍ|TENER;NO_SABER;;ALLÍ|TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.PER.OTROS_PRESENTES;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-inicio_de_denuncia-12;6;Inicio de denuncia y relato básico;12;¿Quiere agregar algo que no le pregunté?;AUMENTAR · NARRAR · QUERER;AMPLIACION_RELATO;denuncia_robo;hearing;question;C;polarity|free_text;SÍ|NO;AUMENTAR|NARRAR|QUERER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.HEC.AMPLIAR;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-01;6;Descripción de personas;1;¿Era un hombre o una mujer?;HOMBRE · MUJER · ¿CUÁL?;SEXO_DESCRIPCION;denuncia_robo;hearing;question;C;polarity|person;SÍ|NO;HOMBRE|MUJER|CUÁL;NO_SABER;CUÁL;CUÁL;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.PER.DESC.SEXO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-02;6;Descripción de personas;2;¿Era joven o adulto?;JOVEN · ADULTO · ¿CUÁL?;EDAD_APROX;denuncia_robo;hearing;question;C;polarity;SÍ|NO;JOVEN|ADULTO|CUÁL;NO_SABER;CUÁL;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|disyuntiva_tratada_como_si_no;Q.PER.DESC.EDAD;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-03;6;Descripción de personas;3;¿Era alto o bajo?;ALTO · BAJO · ¿CUÁL?;ALTURA;denuncia_robo;hearing;question;C;polarity;SÍ|NO;ALTO|BAJO|CUÁL;NO_SABER;CUÁL;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|disyuntiva_tratada_como_si_no;Q.PER.DESC.ESTATURA;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-04;6;Descripción de personas;4;¿Era delgado o de contextura gruesa?;FLACO · GORDO · ¿CUÁL?;CONTEXTURA;denuncia_robo;hearing;question;C;polarity;SÍ|NO;FLACO|GORDO|CUÁL;NO_SABER;CUÁL;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|disyuntiva_tratada_como_si_no;Q.PER.DESC.CONTEXTURA;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-05;6;Descripción de personas;5;¿Qué color de cabello recuerda?;CABELLO · COLOR · ¿CUÁL?;CABELLO;denuncia_robo;hearing;question;C;person;;CABELLO|CUÁL;NO_SABER;CUÁL;CABELLO|CUÁL;COLOR;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.PER.DESC.CABELLO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-06;6;Descripción de personas;6;¿Qué ropa llevaba?;POLERA · PANTALÓN · CHAMARRA · ¿CUÁL?;VESTIMENTA;denuncia_robo;hearing;question;C;person;;POLERA|PANTALÓN|CHAMARRA|CUÁL;NO_SABER;CUÁL;POLERA|PANTALÓN|CHAMARRA|CUÁL;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.PER.DESC.ROPA;persona;¿Puede describir a la persona involucrada?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-07;6;Descripción de personas;7;¿Llevaba gorra?;GORRA · TENER;GORRA;denuncia_robo;hearing;question;C;polarity;SÍ|NO;GORRA|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.PER.DESC.GORRA;persona;¿Puede describir a la persona involucrada?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-08;6;Descripción de personas;8;¿Llevaba mochila o bolsa?;MOCHILA · BOLSA · ¿CUÁL?;OBJETO_PERSONA;denuncia_robo;hearing;question;C;polarity|object;SÍ|NO;MOCHILA|BOLSA|CUÁL;NO_SABER;CUÁL;CUÁL;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.PER.DESC.MOCHILA;persona;¿Puede describir a la persona involucrada?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-09;6;Descripción de personas;9;¿Usaba lentes?;LENTES · TENER;LENTES;denuncia_robo;hearing;question;C;polarity;SÍ|NO;LENTES|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.PER.DESC.LENTES;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-descripcion_de_per-10;6;Descripción de personas;10;¿Recuerda alguna característica particular?;RECORDAR · ¿QUÉ?;RASGO_DISTINTIVO;denuncia_robo;hearing;question;C;polarity;SÍ|NO;RECORDAR|QUÉ;NO_SABER;QUÉ;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta;Q.PER.DESC.RASGO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-01;6;Robo, hurto y objetos;1;¿Le robaron algún objeto?;ROBAR · OBJETO;ROBO_OBJETO;denuncia_robo;hearing;question;C;polarity|object;SÍ|NO;ROBAR;NO_SABER;;ROBAR;OBJETO;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.ROB.ALGO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-02;6;Robo, hurto y objetos;2;¿Qué le robaron?;ROBAR · ¿QUÉ?;OBJETO_ROBADO;denuncia_robo;hearing;question;C;object;;ROBAR|QUÉ;NO_SABER;QUÉ;ROBAR|QUÉ;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.ROB.QUE;objetos;¿Qué objetos están involucrados?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-03;6;Robo, hurto y objetos;3;¿Le robaron el celular?;ROBAR · CELULAR;ROBO_CELULAR;denuncia_robo;hearing;question;C;polarity|object;SÍ|NO;ROBAR|CELULAR;NO_SABER;;ROBAR;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.ROB.CONFIRMA_OBJETO;objetos;¿Qué objetos están involucrados?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-04;6;Robo, hurto y objetos;4;¿Le falta su carnet de identidad?;PAPEL · IDENTIDAD · PERDER;FALTA_IDENTIDAD;denuncia_robo;hearing;question;C;polarity;SÍ|NO;PAPEL|IDENTIDAD|PERDER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ROB.FALTA_CARNET;objetos;¿Qué objetos están involucrados?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-05;6;Robo, hurto y objetos;5;¿Le falta dinero?;DINERO/BILLETES · PERDER;FALTA_DINERO;denuncia_robo;hearing;question;C;polarity|object;SÍ|NO;BILLETES|PERDER;NO_SABER;;PERDER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.ROB.FALTA_DINERO;objetos;¿Qué objetos están involucrados?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-06;6;Robo, hurto y objetos;6;¿Vio al ladrón?;LADRÓN · VER;VER_LADRON;denuncia_robo;hearing;question;C;polarity;SÍ|NO;LADRÓN|VER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ROB.VIO_LADRON;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-07;6;Robo, hurto y objetos;7;¿El ladrón escapó?;LADRÓN · ESCAPAR;ESCAPE;denuncia_robo;hearing;question;C;polarity;SÍ|NO;LADRÓN|ESCAPAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ROB.LADRON_ESCAPO;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-08;6;Robo, hurto y objetos;8;¿Tiene la factura o la caja del celular?;FACTURA · CAJA · CELULAR · TENER;PROPIEDAD_CELULAR;denuncia_robo;hearing;question;C;polarity|object|evidence;SÍ|NO;FACTURA|CAJA|CELULAR|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.EVI.FACTURA_O_CAJA;hecho;¿Qué le ocurrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-09;6;Robo, hurto y objetos;9;¿Hay cámaras o video del lugar?;VIDEO · FILMAR · TENER;VIDEO_LUGAR;denuncia_robo;hearing;question;C;polarity|place|evidence;SÍ|NO;VIDEO|FILMAR|TENER;NO_SABER;;FILMAR|TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.EVI.CAMARAS;evidencia;¿Tiene fotos, video u otro elemento de prueba?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-robo_hurto_y_obje-10;6;Robo, hurto y objetos;10;¿Hay testigos del robo?;TESTIGO · TENER;TESTIGOS_ROBO;denuncia_robo;hearing;question;C;polarity|person|evidence;SÍ|NO;TESTIGO|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.TES.EXISTE;testigos;¿Hay testigos?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-01;6;Agresión, violencia y riesgo;1;¿Alguien le pegó o maltrató?;PEGAR · MALTRATAR;AGRESION;violencia;hearing;question;C;polarity;SÍ|NO;PEGAR|MALTRATAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta|disyuntiva_tratada_como_si_no;Q.VIO.AGRESION;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-02;6;Agresión, violencia y riesgo;2;¿Está herido?;HERIDA · TENER;HERIDA;violencia;hearing;question;C;polarity;SÍ|NO;HERIDA|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SAL.HERIDO;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-03;6;Agresión, violencia y riesgo;3;¿Necesita asistencia médica?;ASISTENCIA · DOCTOR · NECESITAR;ASISTENCIA_MEDICA;violencia;hearing;question;C;polarity;SÍ|NO;ASISTENCIA|DOCTOR|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SAL.ASISTENCIA;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-04;6;Agresión, violencia y riesgo;4;¿Fue al hospital?;HOSPITAL · IR;ATENCION_HOSPITAL;violencia;hearing;question;C;polarity;SÍ|NO;HOSPITAL|IR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SAL.HOSPITAL;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-05;6;Agresión, violencia y riesgo;5;¿Tiene certificado del doctor?;CERTIFICADO · DOCTOR · TENER;CERTIFICADO_MEDICO;violencia;hearing;question;C;polarity|evidence;SÍ|NO;CERTIFICADO|DOCTOR|TENER;NO_SABER;;DOCTOR|TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.SAL.CERTIFICADO;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-06;6;Agresión, violencia y riesgo;6;¿Recibió amenazas?;AMENAZAR · RECIBIR;AMENAZA;violencia;hearing;question;C;polarity;SÍ|NO;AMENAZAR|RECIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.RIE.AMENAZAS;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-07;6;Agresión, violencia y riesgo;7;¿Tiene miedo de volver a su casa?;MIEDO · CASA · VOLVER;RIESGO_RETORNO;violencia;hearing;question;C;polarity;SÍ|NO;MIEDO|CASA|VOLVER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.RIE.MIEDO_CASA;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-08;6;Agresión, violencia y riesgo;8;¿Necesita auxilio ahora?;AUXILIO · AHORA · NECESITAR;AUXILIO_INMEDIATO;violencia;hearing;question;C;polarity;SÍ|NO;AUXILIO|AHORA|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.RIE.AUXILIO;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-09;6;Agresión, violencia y riesgo;9;¿Hay niños u otras personas que necesiten protección?;HIJO/HIJA · PROTEGER · NECESITAR;PROTECCION_OTROS;violencia;hearing;question;C;polarity|person;SÍ|NO;HIJO|PROTEGER|NECESITAR;NO_SABER;;PROTEGER|NECESITAR;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.RIE.PROTECCION_OTROS;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-agresion_violenci-10;6;Agresión, violencia y riesgo;10;¿Desea orientación para recibir asistencia de SEPDAVI?;ASISTENCIA · d(SEPDAVI) · QUERER;DERIVACION_SEPDAVI;violencia;hearing;question;C;polarity|institution;SÍ|NO;ASISTENCIA|QUERER;NO_SABER;;ASISTENCIA|QUERER;;d(SEPDAVI);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.ORI.SEPDAVI;hecho;¿Qué agresión o maltrato sufrió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-01;6;Amenazas, mensajes y entorno digital;1;¿Las amenazas llegaron por celular?;AMENAZAR · CELULAR · ENVIAR;AMENAZA_CELULAR;amenaza_digital;hearing;question;C;polarity|object;SÍ|NO;AMENAZAR|CELULAR|ENVIAR;NO_SABER;;AMENAZAR|ENVIAR;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.DIG.POR_CELULAR;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-02;6;Amenazas, mensajes y entorno digital;2;¿Le escribieron por internet?;INTERNET · ESCRIBIR · ENVIAR;MENSAJE_INTERNET;amenaza_digital;hearing;question;C;polarity;SÍ|NO;INTERNET|ESCRIBIR|ENVIAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIG.POR_INTERNET;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-03;6;Amenazas, mensajes y entorno digital;3;¿Conoce el número desde el que le escribieron?;CELULAR · NÚM(...) · CONOCER;NUMERO_ORIGEN;amenaza_digital;hearing;question;C;polarity;SÍ|NO;CELULAR|CONOCER;NO_SABER;;;;NÚM(...);glosas_del_enunciado_como_respuesta;Q.DIG.NUMERO_CONOCE;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-04;6;Amenazas, mensajes y entorno digital;4;¿Guardó los mensajes?;ESCRIBIR · GUARDAR;GUARDAR_MENSAJES;amenaza_digital;hearing;question;C;polarity;SÍ|NO;ESCRIBIR|GUARDAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIG.GUARDO;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
