questionId;espanol;formulationGlosses;secuenciaCorpus;todasEnCorpusV4;estadoGramatica;evidencia;problema;propuesta;noManuales;requiereValidacionHumana;validadoPor
Q.DIG.NUMERO_CONOCE;¿Conoce el número desde el que le escribieron?;CELULAR|CONOCER;CELULAR · NÚM(...) · CONOCER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Conoce el número desde el que le escribieron?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden CELULAR · NÚM(...) · CONOCER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIG.POR_CELULAR;¿Las amenazas llegaron por celular?;AMENAZAR|CELULAR|ENVIAR;AMENAZAR · CELULAR · ENVIAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Las amenazas llegaron por celular?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AMENAZAR · CELULAR · ENVIAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIG.POR_INTERNET;¿Le escribieron por internet?;INTERNET|ESCRIBIR|ENVIAR;INTERNET · ESCRIBIR · ENVIAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Le escribieron por internet?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden INTERNET · ESCRIBIR · ENVIAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIG.REMITENTE;¿Quién le envió los mensajes?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIN.CHAT;¿Conserva toda la conversación?;ESCRIBIR|TOTAL|GUARDAR;ESCRIBIR · TOTAL · GUARDAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Conserva toda la conversación?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ESCRIBIR · TOTAL · GUARDAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIN.COMPROBANTE;¿Tiene algún comprobante?;FACTURA|BANCO|TENER;FACTURA / PAPEL · BANCO · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene factura o papel del banco?» (nota: Usar objeto concreto);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar que la secuencia de «¿Tiene factura o papel del banco?» sirve para la formulación del banco «¿Tiene algún comprobante?»|confirmar el orden FACTURA / PAPEL · BANCO · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas FACTURA / PAPEL;
Q.DIN.COMPROBANTE_TIPO;¿Qué comprobante tiene?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIN.ENGANO;¿Quiere decir que lo engañaron?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIN.ENTREGO;¿Entregó o envió dinero?;BILLETES|DAR;DINERO/BILLETES · DAR/ENVIAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Entregó o envió dinero?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden DINERO/BILLETES · DAR/ENVIAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas DINERO/BILLETES, DAR/ENVIAR;
Q.DIN.INTERNET;¿Se comunicaron por internet?;INTERNET|ESCRIBIR;INTERNET · ESCRIBIR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Se comunicaron por internet?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden INTERNET · ESCRIBIR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIN.MECANISMO;¿Cómo entregó el dinero?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIN.MONTO;¿Cuánto dinero fue?;BILLETES|CUÁNTOS;BILLETES · ¿CUÁNTOS?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Cuánto dinero entregó?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar que la secuencia de «¿Cuánto dinero entregó?» sirve para la formulación del banco «¿Cuánto dinero fue?»|confirmar el orden BILLETES · ¿CUÁNTOS? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁNTOS? en esta construcción;
Q.DIN.POR_BANCO;¿Lo hizo mediante un banco?;BANCO|BILLETES|ENVIAR;BANCO · BILLETES · ENVIAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Lo hizo mediante un banco?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden BANCO · BILLETES · ENVIAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIN.RECEPTOR;¿Quién recibió el dinero?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español (el banco solo declara el conjunto sin orden ['NOMBRE', 'CONOCER'])";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIN.RECEPTOR_NOMBRE;¿Conoce el nombre de la persona?;ÉL|NOMBRE|CONOCER;ÉL/ELLA · NOMBRE · CONOCER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Conoce el nombre de la persona?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ÉL/ELLA · NOMBRE · CONOCER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas ÉL/ELLA;
Q.DIN.RECEPTOR_NUMERO;¿Tiene su número de celular?;ÉL|CELULAR|TENER;ÉL/ELLA · CELULAR · NÚM(...) · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene su número de celular?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ÉL/ELLA · CELULAR · NÚM(...) · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas ÉL/ELLA;
Q.DOC.ACLARAR;¿Qué papel es?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.CAJA;¿Tiene la caja del celular?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.CAMARAS;¿Hay cámaras o video del lugar?;VIDEO|FILMAR|TENER;VIDEO · FILMAR · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Hay cámaras o video del lugar?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden VIDEO · FILMAR · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.EVI.CERTIFICADO;¿Tiene un certificado?;CERTIFICADO|TENER;CERTIFICADO · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene un certificado?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden CERTIFICADO · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.EVI.FACTURA;¿Tiene la factura?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.FACTURA_O_CAJA;¿Tiene la factura o la caja del celular?;FACTURA|CAJA|CELULAR|TENER;FACTURA · CAJA · CELULAR · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene la factura o la caja del celular?» (nota: Directo);indicio (no veredicto) de calco: las glosas siguen el orden de las palabras del español;ninguna: no hay evidencia para cambiar la secuencia;desconocidos;confirmar el orden FACTURA · CAJA · CELULAR · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|pregunta compuesta (el banco la divide en dos): confirmar si la secuencia expresa «o» y no «y»;
Q.EVI.FOTOS;¿Tiene fotografías?;FOTOS|TENER;FOTOS · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene fotografías?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden FOTOS · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.EVI.MOSTRAR_AHORA;¿Puede mostrarlo ahora?;AHORA|MOSTRAR|PUEDO;AHORA · MOSTRAR · PUEDO;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Puede mostrarlo ahora?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AHORA · MOSTRAR · PUEDO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la posición de la expresión temporal AHORA;
Q.EVI.PRESENTAR;¿Desea presentar estos elementos?;PRESENTAR|FOTOS|QUERER;PRESENTAR · FOTOS/VIDEO/PAPEL · QUERER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Desea presentar estos elementos?» (nota: PRESENTAR directo D2024);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden PRESENTAR · FOTOS/VIDEO/PAPEL · QUERER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas FOTOS/VIDEO/PAPEL;
Q.EVI.QUE_TIENE;¿Tiene fotos, video u otra cosa que pueda mostrar?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.RESOLUCION_PREVIA;¿Tiene una resolución o papel previo?;RESOLUCIÓN|TENER;RESOLUCIÓN / PAPEL · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene una resolución o papel previo?» (nota: RESOLUCIÓN directo D2024);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden RESOLUCIÓN / PAPEL · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas RESOLUCIÓN / PAPEL;
Q.EVI.TIPOS;¿Qué tiene?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.TRAE_COPIA;¿La tiene aquí con usted?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.EVI.VIDEO;¿Tiene video?;VIDEO|TENER;VIDEO · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene video?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden VIDEO · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.FALTA.QUE;¿Qué le falta?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.HEC.AMPLIAR;¿Quiere agregar algo que no le pregunté?;AUMENTAR|NARRAR|QUERER;AUMENTAR · NARRAR · QUERER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Quiere agregar algo que no le pregunté?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AUMENTAR · NARRAR · QUERER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.HEC.ESCAPE_ACTOR;¿Quién escapó?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.HEC.PERDIDA_TIPO;¿Lo perdió usted o cree que se lo quitaron?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.HEC.QUE_OCURRIO;¿Qué ocurrió?;TÚ|NARRAR|QUÉ;TÚ · NARRAR · ¿QUÉ?;sí;GRAMMAR_PROVISIONAL;"corpus §6 «¿Qué ocurrió?» (nota: Directo; sintaxis final a validar)";;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden TÚ · NARRAR · ¿QUÉ? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿QUÉ? en esta construcción|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada;
Q.HEC.RELATO_ORDENADO;¿Puede contarme lo sucedido desde el inicio?;NARRAR|EMPEZAR|PRIMERA_VEZ;NARRAR · EMPEZAR · PRIMERA-VEZ;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Puede contarme lo sucedido desde el inicio?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden NARRAR · EMPEZAR · PRIMERA-VEZ como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la posición de la expresión temporal PRIMERA-VEZ;
Q.ID.ACOMPANANTE;¿Vino solo o acompañado?;TÚ|VENIR;TÚ · NÚM(1) · VENIR / ACOMPAÑAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Vino solo o acompañado?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden TÚ · NÚM(1) · VENIR / ACOMPAÑAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar cómo se marca la pregunta disyuntiva («… o …»): la secuencia no marca ni la disyunción ni la pregunta|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada|elegir una de las alternativas VENIR / ACOMPAÑAR;
