contexto;zona;preguntaActual;opcional;maxPicks;alcanzable;posicion;glosa;textoTarjeta;significado;funcionEnsamblador;camposZona;pasaFiltroSinListaBlanca;despachoUI;veredicto;destino;motivo;preguntasBanco;avatar
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;1;JUEZ;JUEZ;Juez;institution;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;2;ABOGADO;ABOGADO;Abogado;service;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;3;INTÉRPRETE;INTÉRPRETE;Intérprete;service;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;4;POLICÍA;POLICÍA;Policía;institution;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;5;OFICIAL;OFICIAL;Oficial;service;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;6;DOCTOR;DOCTOR;Doctor;service;person;False;selección directa;condicional;;solo si se declaró una herida;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;7;TESTIGO;TESTIGO;Testigo;participant;person;True;selección directa;mover;I.PREG.TRAER_TESTIGO;I.PREG.TRAER_TESTIGO;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;8;AUTORIDAD;AUTORIDAD;Autoridad;institution;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;persona_pregunta;¿Con quién deseo hablar?;True;1;True;9;ASISTENTE;ASISTENTE;Asistente;service;person;False;selección directa;valida;;;I.PREG.HABLAR_CON;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;1;INVESTIGACIÓN;INVESTIGACIÓN;Investigación;service;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;2;TRÁMITE;TRÁMITE;Trámite;service;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;3;RESOLUCIÓN;RESOLUCIÓN;Resolución;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;4;CONVOCAR;CONVOCAR;Convocar;service;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;5;RESULTADO;RESULTADO;Resultado;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;6;PLAZO;PLAZO;Plazo;service;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;7;CERTIFICADO;CERTIFICADO;Certificado;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;8;CARPETA;CARPETA;Carpeta;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;9;PAPEL;PAPEL;Papel;document;free_text;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";mover;Q.DOC.ACLARAR;Q.DOC.ACLARAR;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;10;FOTOCOPIA;FOTOCOPIA;Fotocopia;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;11;FACTURA;FACTURA;Factura;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;12;CELULAR;CELULAR;Celular;object;free_text;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;objeto de la consulta («¿Pueden buscar mi celular?»);I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;13;FOTOS;FOTOS;Fotos;object;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;14;VIDEO;VIDEO;Video;object;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;15;SELLO;SELLO;Sello;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;16;ASISTENCIA;ASISTENCIA;Asistencia;document;free_text;True;selección directa;valida;;;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;17;JUSTICIA;JUSTICIA;Justicia;document;free_text;True;selección directa;invalida;;no introduce un tema consultable concreto;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tema_pregunta;¿Sobre qué tema es la pregunta?;True;1;True;18;LEY;LEY;Ley;document;free_text;True;selección directa;invalida;;no introduce un tema consultable concreto;I.PREG.SOBRE_TEMA|Q.SEG.MOTIVO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;1;VOLVER;VOLVER;Volver;action;time;False;selección directa;valida;;acción sobre la que se pregunta;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;2;ESPERAR;ESPERAR;Esperar;action;time;False;selección directa;valida;;acción sobre la que se pregunta;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;3;AVISAR;AVISAR;Avisar;action;time;False;selección directa;valida;;acción sobre la que se pregunta;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;4;HOY;HOY;Hoy;time;time;True;selección directa;mover;;pregunta cerrada «¿Debo volver hoy?» (no «¿cuándo?»);I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;5;MAÑANA;MAÑANA;Mañana;time;time;True;selección directa;mover;;pregunta cerrada «¿Debo volver mañana?»;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;6;PRÓXIMO;PRÓXIMO;Próximo;time;time;True;selección directa;modificador;;PRÓXIMO + SEMANA/MES;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;7;DÍA;DÍA;Día;time;time;True;selección directa;valida;;unidad de «¿cuántos días…?»;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;8;SEMANA;SEMANA;Semana;time;time;True;selección directa;valida;;unidad;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;9;MES;MES;Mes;time;time;True;selección directa;valida;;unidad;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;10;HORA;HORA;Hora;time;time;True;selección directa;valida;;unidad;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;tiempo_pregunta;¿Cuándo debo volver o cuánto esperar?;True;1;True;11;FECHA;FECHA;Fecha;time;time;True;selección directa;formulacion;;;I.PREG.CUANDO|I.PREG.CUANTO;placeholder
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;1;1;1;;action;amount;False;selección directa;inalcanzable;;zona encadenada que nunca se activa;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;2;2;2;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;3;3;3;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;4;4;4;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;5;5;5;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;6;6;6;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;7;7;7;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;8;8;8;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
preguntas;cantidad_pregunta;¿Cuántos?;True;1;False;9;9;9;;action;amount;False;selección directa;inalcanzable;;;I.PREG.CUANTO;declarada_en_resolutor
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;1;NOMBRE;NOMBRE;Nombre;marker;person;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;editor texto_nombre;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;2;PAPEL;PAPEL;Papel;document;person;False;"hoja de aclaración; la tarjeta se añade aunque se cancele";mover;Q.DOC.ACLARAR;Q.DOC.ACLARAR;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;3;IDENTIDAD;IDENTIDAD;Identidad;marker;person;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;carnet (PAPEL·IDENTIDAD);Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;4;SORDO;SORDO;Sordo;participant;person;True;selección directa;mover;Q.ACC.SORDO;Q.ACC.SORDO;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;5;LEER;LEER;Leer;action;person;False;selección directa;mover;Q.ACC.LECTURA;Q.ACC.LECTURA;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;6;POCO;POCO;Poco;trait;person;True;selección directa;modificador;;LEER POCO;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;identidad;¿Cuál es su nombre e identidad?;False;3;True;7;INTÉRPRETE;INTÉRPRETE;Intérprete;service;person;False;selección directa;mover;Q.ACC.INTERPRETE;Q.ACC.INTERPRETE;Q.ID.NOMBRE|Q.ID.DOC_TIPO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;1;CELULAR;CELULAR;Celular;object;object;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;editor telefono;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;2;ESCRIBIR;ESCRIBIR;Escribir;action;object;False;"texto libre «¿Qué otro elemento tienes?»; cancelar no añade";valida;;preferencia «mensaje escrito» (Q.ID.AVISO);Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;3;ENVIAR;ENVIAR;Enviar;action;object;False;selección directa;formulacion;;;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;4;AVISAR;AVISAR;Avisar;action;object;False;selección directa;formulacion;;;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;5;MEJOR;MEJOR;Mejor;trait;object;False;selección directa;formulacion;;;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;6;DIRECCIÓN;DIRECCIÓN;Dirección;place;object;False;selección directa;mover;I.DECL.CAMBIO_CONTACTO;I.DECL.CAMBIO_CONTACTO;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;contacto;¿Cómo prefiere que le contactemos?;True;2;True;7;CAMBIAR;CAMBIAR;Cambiar;action;object;False;selección directa;mover;I.DECL.CAMBIO_CONTACTO;I.DECL.CAMBIO_CONTACTO;Q.ID.TELEFONO_PROPIO|Q.ID.AVISO;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;1;ACOMPAÑAR;ACOMPAÑAR;Acompañar;action;person;False;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;2;AMIGO;AMIGO;Amigo;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;3;HERMANO;HERMANO;Hermano;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;4;HERMANA;HERMANA;Hermana;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;5;MAMÁ;MAMÁ;Mamá;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;6;HIJO;HIJO;Hijo;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;7;HIJA;HIJA;Hija;participant;person;True;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;8;INTÉRPRETE;INTÉRPRETE;Intérprete;service;person;False;selección directa;valida;;;Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;placeholder
identificacion;acompanante;¿Vino solo o acompañado?;True;1;True;9;1;1;;action;person;False;selección directa;valida;;"NÚM(1) = «vine solo/a»; la tarjeta debe rotularse «Solo/a»";Q.ID.ACOMPANANTE|Q.ID.ACOMPANANTE_QUIEN;declarada_en_resolutor
identificacion;edad;¿Qué edad tiene?;True;1;True;1;EDAD;EDAD;Edad;marker;person;True;selección directa + teclado de deletreo/número (_admiteDetalle);formulacion;;abre el editor numérico, no es la respuesta;Q.ID.EDAD_PROPIA;placeholder
identificacion;edad;¿Qué edad tiene?;True;1;True;2;JOVEN;JOVEN;Joven;participant;person;True;selección directa;invalida;;no es una edad;Q.ID.EDAD_PROPIA;placeholder
identificacion;edad;¿Qué edad tiene?;True;1;True;3;ADULTO;ADULTO;Adulto;participant;person;True;selección directa;invalida;;no es una edad;Q.ID.EDAD_PROPIA;placeholder
denuncia_robo;hecho;¿Qué le ocurrió?;False;2;True;1;ROBAR;ROBAR;Robar;action;free_text;True;selección directa;valida;;;Q.HEC.QUE_OCURRIO;placeholder
denuncia_robo;hecho;¿Qué le ocurrió?;False;2;True;2;PERDER;PERDER;Perder;action;free_text;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;abre Q.HEC.PERDIDA_TIPO;Q.HEC.QUE_OCURRIO;placeholder
denuncia_robo;hecho;¿Qué le ocurrió?;False;2;True;3;ESCAPAR;ESCAPAR;Escapar;action;free_text;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;segundo hecho con Q.HEC.ESCAPE_ACTOR;Q.HEC.QUE_OCURRIO;placeholder
denuncia_robo;hecho;¿Qué le ocurrió?;False;2;True;4;DAÑAR;DAÑAR;Dañar;action;free_text;True;selección directa;valida;;;Q.HEC.QUE_OCURRIO;placeholder
denuncia_robo;hecho;¿Qué le ocurrió?;False;2;True;5;ENGAÑAR;ENGAÑAR;Engañar;action;free_text;True;selección directa;valida;;reencamina a dinero si hubo dinero;Q.HEC.QUE_OCURRIO;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;1;CELULAR;CELULAR;Celular;object;object;True;"hoja «¿Qué pasó con…?»; se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;2;BILLETES;BILLETES;Billetes;object;object;True;"editor de monto (rol 'stolen'); se añade aunque se cancele";valida;;editor monto;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;3;MOCHILA;MOCHILA;Mochila;object;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;4;BOLSA;BOLSA;Bolsa;object;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;5;PAPEL;PAPEL;Papel;document;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";mover;Q.DOC.ACLARAR;Q.DOC.ACLARAR;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;6;IDENTIDAD;IDENTIDAD;Identidad;marker;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;carnet;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;7;FACTURA;FACTURA;Factura;document;object;True;"hoja «¿Qué pasó con…?»; se añade aunque se cancele";mover;Q.EVI.FACTURA;Q.EVI.FACTURA;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;8;CAJA;CAJA;Caja;object;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;9;CHAMARRA;CHAMARRA;Chamarra;object;object;True;"hoja «¿Qué pasó con…?»; se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;10;GORRA;GORRA;Gorra;object;object;True;"hoja «¿Qué pasó con…?»; se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;11;LENTES;LENTES;Lentes;object;object;True;"hoja «¿Qué pasó con…?»; se añade aunque se cancele";valida;;;Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;12;MICRO;MICRO;Micro;object;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;vehículo robado (si es el lugar, Q.LUG.DONDE);Q.ROB.QUE;placeholder
denuncia_robo;objetos;¿Qué objetos están involucrados?;False;8;True;13;TRUFI;TRUFI;Trufi;object;object;True;"hoja de aclaración; la tarjeta se añade aunque se cancele";valida;;vehículo robado (si es el lugar, Q.LUG.DONDE);Q.ROB.QUE;placeholder
denuncia_robo;persona;¿Puede describir a la persona involucrada?;True;6;True;1;HOMBRE;HOMBRE;Hombre;participant;person;True;"asistente género/edad/rasgos/ropa (rol 'suspect'); se añade aunque se cancele";condicional;;solo si el funcionario lo pregunta o la persona elige describir;Q.PER.DESC.SEXO;placeholder
denuncia_robo;persona;¿Puede describir a la persona involucrada?;True;6;True;2;MUJER;MUJER;Mujer;participant;person;True;"asistente género/edad/rasgos/ropa (rol 'suspect'); se añade aunque se cancele";condicional;;ídem;Q.PER.DESC.SEXO;placeholder
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;1;SÍ;SÍ;Sí;marker;polarity|person;True;selección directa;valida;;;Q.PER.CONOCE|Q.PER.VINCULO;declarada_en_resolutor
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;2;NO;NO;No;marker;polarity|person;True;selección directa;valida;;;Q.PER.CONOCE|Q.PER.VINCULO;declarada_en_resolutor
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;3;NO_SABER;NO SABER;No saber;marker;polarity|person;True;selección directa;valida;;;Q.PER.CONOCE|Q.PER.VINCULO;placeholder
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;4;AMIGO;AMIGO;Amigo;participant;polarity|person;True;selección directa;mover;Q.PER.VINCULO;Q.PER.VINCULO;Q.PER.CONOCE|Q.PER.VINCULO;placeholder
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;5;PAREJA;PAREJA;Pareja;participant;polarity|person;True;selección directa;mover;Q.PER.VINCULO;Q.PER.VINCULO;Q.PER.CONOCE|Q.PER.VINCULO;placeholder
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;6;PARIENTE;PARIENTE;Pariente;participant;polarity|person;True;selección directa;mover;Q.PER.VINCULO;Q.PER.VINCULO;Q.PER.CONOCE|Q.PER.VINCULO;placeholder
denuncia_robo;conocimiento;¿Conoce a esa persona?;True;1;True;7;HERMANO;HERMANO;Hermano;participant;polarity|person;True;selección directa;mover;Q.PER.VINCULO;Q.PER.VINCULO;Q.PER.CONOCE|Q.PER.VINCULO;placeholder
denuncia_robo;lugar;¿Dónde ocurrió?;False;1;True;1;CALLE;CALLE;Calle;place;place;True;"editor de lugar; se añade aunque se cancele";valida;;editor lugar_literal;Q.LUG.DONDE|Q.LUG.RELACION|Q.LUG.DENTRO_FUERA;placeholder
denuncia_robo;lugar;¿Dónde ocurrió?;False;1;True;2;AVENIDA;AVENIDA;Avenida;place;place;True;"editor de lugar; se añade aunque se cancele";valida;;editor lugar_literal;Q.LUG.DONDE|Q.LUG.RELACION|Q.LUG.DENTRO_FUERA;placeholder
denuncia_robo;lugar;¿Dónde ocurrió?;False;1;True;3;PLAZA;PLAZA;Plaza;place;place;True;"editor de lugar; se añade aunque se cancele";valida;;editor lugar_literal;Q.LUG.DONDE|Q.LUG.RELACION|Q.LUG.DENTRO_FUERA;placeholder
denuncia_robo;lugar;¿Dónde ocurrió?;False;1;True;4;MERCADO;MERCADO;Mercado;place;place;True;"editor de lugar; se añade aunque se cancele";valida;;editor lugar_literal;Q.LUG.DONDE|Q.LUG.RELACION|Q.LUG.DENTRO_FUERA;placeholder
