nodo;seccion;fila;frase;intencion;ambito;hablante;acto;modos;preguntaBanco;glosasDelEnunciado;respuestas;glosasDeRespuesta;controles;literales;pendientes
n-s6-acceso_comunicativ-11;6;11;¿Prefiere recibir avisos por mensaje escrito?;PREFERENCIA_AVISO;identificacion;hearing;question;C;Q.ID.AVISO;AVISAR|ESCRIBIR|ENVIAR|MEJOR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-acceso_comunicativ-12;6;12;¿Vino solo o acompañado?;ACOMPAÑANTE;identificacion;hearing;question;C;Q.ID.ACOMPANANTE;TÚ|VENIR;solo|acompanado;1|ACOMPAÑAR;omitir;NÚM(1);
n-s6-inicio_de_denuncia-01;6;1;¿Desea presentar una denuncia?;INTENCION_DENUNCIA;denuncia_robo;hearing;question;C;Q.DEN.INTENCION;PRESENTAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;[DENUNCIA];
n-s6-inicio_de_denuncia-02;6;2;¿Qué ocurrió?;RELATO_ABIERTO;denuncia_robo;hearing;question;C;Q.HEC.QUE_OCURRIO;TÚ|NARRAR|QUÉ;robar|perder|danar|escapar;ROBAR|PERDER|DAÑAR|ESCAPAR;omitir;;
n-s6-inicio_de_denuncia-03;6;3;¿Puede contarme lo sucedido desde el inicio?;RELATO_ORDENADO;denuncia_robo;hearing;question;C;Q.HEC.RELATO_ORDENADO;NARRAR|EMPEZAR|PRIMERA_VEZ;si|no;SÍ|NO;omitir;;
n-s6-inicio_de_denuncia-04;6;4;¿Cuándo ocurrió?;TIEMPO_HECHO;denuncia_robo;hearing;question;C;Q.TIE.CUANDO;CUÁNDO|FECHA|HORA;ahora|hoy|ayer|anteayer|hace_min|hace_h|hace_d|hace_s|hace_m|tarde|temprano;AHORA|HOY|AYER|ANTEAYER|MINUTO|HORA|DÍA|SEMANA|MES|TARDE|TEMPRANO;no_recuerda|omitir;;
n-s6-inicio_de_denuncia-05;6;5;¿Fue hoy, ayer o antes?;TIEMPO_APROX;denuncia_robo;hearing;question;C;Q.TIE.APROX;HOY|AYER|PASADO;hoy|ayer|antes;HOY|AYER|PASADO;no_recuerda|omitir;;
n-s6-inicio_de_denuncia-06;6;6;¿A qué hora aproximadamente?;HORA_HECHO;denuncia_robo;hearing;question;C;Q.TIE.HORA;HORA|CUÁNTOS|MÁS_O_MENOS;hora|tarde|temprano;TARDE|TEMPRANO;no_recuerda|omitir;;
n-s6-inicio_de_denuncia-07;6;7;¿Dónde ocurrió?;LUGAR_HECHO;denuncia_robo;hearing;question;C;Q.LUG.DONDE;DÓNDE;calle|avenida|plaza|mercado|barrio|tienda|casa|micro|trufi|otro;CALLE|AVENIDA|PLAZA|MERCADO|BARRIO|TIENDA|CASA|MICRO|TRUFI;no_sabe|omitir;;
n-s6-inicio_de_denuncia-08;6;8;¿Ocurrió dentro o fuera del lugar?;POSICION_LUGAR;denuncia_robo;hearing;question;C;Q.LUG.DENTRO_FUERA;DENTRO|FUERA|CUÁL;dentro|fuera;DENTRO|FUERA;no_sabe|omitir;;
n-s6-inicio_de_denuncia-09;6;9;¿Conoce a la persona involucrada?;CONOCIMIENTO_PERSONA;denuncia_robo;hearing;question;C;Q.PER.CONOCE;TÚ|ÉL|CONOCER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-inicio_de_denuncia-10;6;10;¿Puede identificarla si la vuelve a ver?;RECONOCIMIENTO;denuncia_robo;hearing;question;C;Q.PER.RECONOCE;IDENTIFICAR|VOLVER|VER|PUEDO;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-inicio_de_denuncia-11;6;11;¿Había otras personas presentes?;PRESENCIA_OTROS;denuncia_robo;hearing;question;C;Q.PER.OTROS_PRESENTES;HOMBRE|MUJER|ALLÍ|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-inicio_de_denuncia-12;6;12;¿Quiere agregar algo que no le pregunté?;AMPLIACION_RELATO;denuncia_robo;hearing;question;C;Q.HEC.AMPLIAR;AUMENTAR|NARRAR|QUERER;si|no;SÍ|NO;omitir;;
n-s6-descripcion_de_per-01;6;1;¿Era un hombre o una mujer?;SEXO_DESCRIPCION;denuncia_robo;hearing;question;C;Q.PER.DESC.SEXO;HOMBRE|MUJER|CUÁL;hombre|mujer;HOMBRE|MUJER;no_sabe|omitir;;
n-s6-descripcion_de_per-02;6;2;¿Era joven o adulto?;EDAD_APROX;denuncia_robo;hearing;question;C;Q.PER.DESC.EDAD;JOVEN|ADULTO|CUÁL;numero|joven|adulto;JOVEN|ADULTO;no_recuerda|omitir;;
n-s6-descripcion_de_per-03;6;3;¿Era alto o bajo?;ALTURA;denuncia_robo;hearing;question;C;Q.PER.DESC.ESTATURA;ALTO|BAJO|CUÁL;alto|bajo;ALTO|BAJO;no_sabe|omitir;;
n-s6-descripcion_de_per-04;6;4;¿Era delgado o de contextura gruesa?;CONTEXTURA;denuncia_robo;hearing;question;C;Q.PER.DESC.CONTEXTURA;FLACO|GORDO|CUÁL;flaco|gordo;FLACO|GORDO;no_sabe|omitir;;
n-s6-descripcion_de_per-05;6;5;¿Qué color de cabello recuerda?;CABELLO;denuncia_robo;hearing;question;C;Q.PER.DESC.CABELLO;CABELLO|CUÁL;negro|otro;CABELLO;no_recuerda|omitir;;COLOR
n-s6-descripcion_de_per-06;6;6;¿Qué ropa llevaba?;VESTIMENTA;denuncia_robo;hearing;question;C;Q.PER.DESC.ROPA;POLERA|PANTALÓN|CHAMARRA|CUÁL;polera|pantalon|chamarra|gorra|mochila|otro;POLERA|PANTALÓN|CHAMARRA|GORRA|MOCHILA;no_recuerda|omitir;;
n-s6-descripcion_de_per-07;6;7;¿Llevaba gorra?;GORRA;denuncia_robo;hearing;question;C;Q.PER.DESC.GORRA;GORRA|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-descripcion_de_per-08;6;8;¿Llevaba mochila o bolsa?;OBJETO_PERSONA;denuncia_robo;hearing;question;C;Q.PER.DESC.MOCHILA;MOCHILA|BOLSA|CUÁL;mochila|bolsa|ninguna;MOCHILA|BOLSA|NO;no_sabe|omitir;;
n-s6-descripcion_de_per-09;6;9;¿Usaba lentes?;LENTES;denuncia_robo;hearing;question;C;Q.PER.DESC.LENTES;LENTES|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-descripcion_de_per-10;6;10;¿Recuerda alguna característica particular?;RASGO_DISTINTIVO;denuncia_robo;hearing;question;C;Q.PER.DESC.RASGO;RECORDAR|QUÉ;texto;;no_recuerda|omitir;;
n-s6-robo_hurto_y_obje-01;6;1;¿Le robaron algún objeto?;ROBO_OBJETO;denuncia_robo;hearing;question;C;Q.ROB.ALGO;ROBAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;OBJETO
n-s6-robo_hurto_y_obje-02;6;2;¿Qué le robaron?;OBJETO_ROBADO;denuncia_robo;hearing;question;C;Q.ROB.QUE;ROBAR|QUÉ;celular|dinero|mochila|bolsa|chamarra|gorra|lentes|carnet|papel|otro;CELULAR|BILLETES|MOCHILA|BOLSA|CHAMARRA|GORRA|LENTES|PAPEL|PAPEL;no_sabe|omitir;;
n-s6-robo_hurto_y_obje-03;6;3;¿Le robaron el celular?;ROBO_CELULAR;denuncia_robo;hearing;question;C;Q.ROB.CONFIRMA_OBJETO;ROBAR|CELULAR;si|no|no_sabe|otra_cosa;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-04;6;4;¿Le falta su carnet de identidad?;FALTA_IDENTIDAD;denuncia_robo;hearing;question;C;Q.ROB.FALTA_CARNET;PAPEL|IDENTIDAD|PERDER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-05;6;5;¿Le falta dinero?;FALTA_DINERO;denuncia_robo;hearing;question;C;Q.ROB.FALTA_DINERO;BILLETES|PERDER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-06;6;6;¿Vio al ladrón?;VER_LADRON;denuncia_robo;hearing;question;C;Q.ROB.VIO_LADRON;LADRÓN|VER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-07;6;7;¿El ladrón escapó?;ESCAPE;denuncia_robo;hearing;question;C;Q.ROB.LADRON_ESCAPO;LADRÓN|ESCAPAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-08;6;8;¿Tiene la factura o la caja del celular?;PROPIEDAD_CELULAR;denuncia_robo;hearing;question;C;Q.EVI.FACTURA_O_CAJA;FACTURA|CAJA|CELULAR|TENER;;;omitir;;
n-s6-robo_hurto_y_obje-09;6;9;¿Hay cámaras o video del lugar?;VIDEO_LUGAR;denuncia_robo;hearing;question;C;Q.EVI.CAMARAS;VIDEO|FILMAR|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-robo_hurto_y_obje-10;6;10;¿Hay testigos del robo?;TESTIGOS_ROBO;denuncia_robo;hearing;question;C;Q.TES.EXISTE;TESTIGO|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-01;6;1;¿Alguien le pegó o maltrató?;AGRESION;violencia;hearing;question;C;Q.VIO.AGRESION;PEGAR|MALTRATAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-02;6;2;¿Está herido?;HERIDA;violencia;hearing;question;C;Q.SAL.HERIDO;HERIDA|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-03;6;3;¿Necesita asistencia médica?;ASISTENCIA_MEDICA;violencia;hearing;question;C;Q.SAL.ASISTENCIA;ASISTENCIA|DOCTOR|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-04;6;4;¿Fue al hospital?;ATENCION_HOSPITAL;violencia;hearing;question;C;Q.SAL.HOSPITAL;HOSPITAL|IR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-05;6;5;¿Tiene certificado del doctor?;CERTIFICADO_MEDICO;violencia;hearing;question;C;Q.SAL.CERTIFICADO;CERTIFICADO|DOCTOR|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-06;6;6;¿Recibió amenazas?;AMENAZA;violencia;hearing;question;C;Q.RIE.AMENAZAS;AMENAZAR|RECIBIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-07;6;7;¿Tiene miedo de volver a su casa?;RIESGO_RETORNO;violencia;hearing;question;C;Q.RIE.MIEDO_CASA;MIEDO|CASA|VOLVER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-08;6;8;¿Necesita auxilio ahora?;AUXILIO_INMEDIATO;violencia;hearing;question;C;Q.RIE.AUXILIO;AUXILIO|AHORA|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-09;6;9;¿Hay niños u otras personas que necesiten protección?;PROTECCION_OTROS;violencia;hearing;question;C;Q.RIE.PROTECCION_OTROS;HIJO|PROTEGER|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-agresion_violenci-10;6;10;¿Desea orientación para recibir asistencia de SEPDAVI?;DERIVACION_SEPDAVI;violencia;hearing;question;C;Q.ORI.SEPDAVI;ASISTENCIA|QUERER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;d(SEPDAVI);
n-s6-amenazas_mensajes-01;6;1;¿Las amenazas llegaron por celular?;AMENAZA_CELULAR;amenaza_digital;hearing;question;C;Q.DIG.POR_CELULAR;AMENAZAR|CELULAR|ENVIAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-amenazas_mensajes-02;6;2;¿Le escribieron por internet?;MENSAJE_INTERNET;amenaza_digital;hearing;question;C;Q.DIG.POR_INTERNET;INTERNET|ESCRIBIR|ENVIAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-amenazas_mensajes-03;6;3;¿Conoce el número desde el que le escribieron?;NUMERO_ORIGEN;amenaza_digital;hearing;question;C;Q.DIG.NUMERO_CONOCE;CELULAR|CONOCER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;NÚM(...);
n-s6-amenazas_mensajes-04;6;4;¿Guardó los mensajes?;GUARDAR_MENSAJES;amenaza_digital;hearing;question;C;Q.DIG.GUARDO;ESCRIBIR|GUARDAR;si|no|no_sabe|todos;SÍ|NO|NO_SABER|SÍ;omitir;;
n-s6-amenazas_mensajes-05;6;5;¿Tiene fotos de la pantalla?;CAPTURAS;amenaza_digital;hearing;question;C;Q.DIG.CAPTURAS;FOTOS|CELULAR|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-amenazas_mensajes-06;6;6;¿Sigue recibiendo mensajes?;CONTINUIDAD_MENSAJES;amenaza_digital;hearing;question;C;Q.DIG.CONTINUA;AÚN|RECIBIR|ESCRIBIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-amenazas_mensajes-07;6;7;¿Son uno o varios números?;CANTIDAD_NUMEROS;amenaza_digital;hearing;question;C;Q.DIG.CANT_NUMEROS;CELULAR|CUÁNTOS;uno|varios;1;no_sabe|omitir;NÚM(...);
n-s6-amenazas_mensajes-08;6;8;¿Puede mostrar el celular ahora?;MOSTRAR_CELULAR;amenaza_digital;hearing;question;C;Q.DIG.MOSTRAR;CELULAR|AHORA|MOSTRAR|PUEDO;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-01;6;1;¿Entregó o envió dinero?;DINERO_ENTREGADO;engano_dinero;hearing;question;C;Q.DIN.ENTREGO;BILLETES|DAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-02;6;2;¿Cuánto dinero entregó?;MONTO;engano_dinero;hearing;question;C;Q.DIN.MONTO;BILLETES|CUÁNTOS;monto;;no_recuerda|omitir;;
n-s6-engaño_dinero_y_t-03;6;3;¿Lo hizo mediante un banco?;BANCO;engano_dinero;hearing;question;C;Q.DIN.POR_BANCO;BANCO|BILLETES|ENVIAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-04;6;4;¿Tiene factura o papel del banco?;COMPROBANTE;engano_dinero;hearing;question;C;Q.DIN.COMPROBANTE;FACTURA|BANCO|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-05;6;5;¿Conoce el nombre de la persona?;NOMBRE_PERSONA;engano_dinero;hearing;question;C;Q.DIN.RECEPTOR_NOMBRE;ÉL|NOMBRE|CONOCER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-06;6;6;¿Tiene su número de celular?;CONTACTO_PERSONA;engano_dinero;hearing;question;C;Q.DIN.RECEPTOR_NUMERO;ÉL|CELULAR|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;NÚM(...);
n-s6-engaño_dinero_y_t-07;6;7;¿Se comunicaron por internet?;CONTACTO_INTERNET;engano_dinero;hearing;question;C;Q.DIN.INTERNET;INTERNET|ESCRIBIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-engaño_dinero_y_t-08;6;8;¿Conserva toda la conversación?;CONSERVAR_CHAT;engano_dinero;hearing;question;C;Q.DIN.CHAT;ESCRIBIR|TOTAL|GUARDAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-01;6;1;¿Hay algún testigo?;TESTIGO_EXISTE;otro;hearing;question;C;Q.TES.EXISTE;TESTIGO|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-02;6;2;¿Cuántos testigos hay?;TESTIGO_CANTIDAD;otro;hearing;question;C;Q.TES.CANTIDAD;TESTIGO|CUÁNTOS;n;;no_sabe|omitir;;
n-s6-testigos_fotos_v-03;6;3;¿El testigo vio todo?;TESTIGO_VIO;otro;hearing;question;C;Q.TES.VIO_TODO;TESTIGO|TOTAL|VER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-04;6;4;¿Puede traer al testigo?;TESTIGO_TRAER;otro;hearing;question;C;Q.TES.TRAER;TESTIGO|TRAER|PUEDO;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-05;6;5;¿Tiene fotografías?;FOTOS;otro;hearing;question;C;Q.EVI.FOTOS;FOTOS|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-06;6;6;¿Tiene video?;VIDEO;otro;hearing;question;C;Q.EVI.VIDEO;VIDEO|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-07;6;7;¿Puede mostrarlo ahora?;MOSTRAR;otro;hearing;question;C;Q.EVI.MOSTRAR_AHORA;AHORA|MOSTRAR|PUEDO;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-08;6;8;¿Tiene un certificado?;CERTIFICADO;otro;hearing;question;C;Q.EVI.CERTIFICADO;CERTIFICADO|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-09;6;9;¿Tiene una resolución o papel previo?;RESOLUCION;otro;hearing;question;C;Q.EVI.RESOLUCION_PREVIA;RESOLUCIÓN|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-testigos_fotos_v-10;6;10;¿Desea presentar estos elementos?;PRESENTAR_ELEMENTOS;otro;hearing;question;C;Q.EVI.PRESENTAR;PRESENTAR|FOTOS|QUERER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-01;6;1;¿Vino a consultar el estado de su caso?;CONSULTA_ESTADO;seguimiento;hearing;question;C;Q.SEG.ESTADO_CASO;INVESTIGACIÓN|BUSCAR|VENIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-02;6;2;¿Tiene el número de referencia?;NUMERO_REFERENCIA;seguimiento;hearing;question;C;Q.SEG.NUM_REFERENCIA;TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;NÚM(...);
n-s6-seguimiento_prelim-03;6;3;¿Cuándo presentó la denuncia?;FECHA_DENUNCIA;seguimiento;hearing;question;C;Q.SEG.FECHA_DENUNCIA;CUÁNDO;hace_d|hace_s|hace_m|ayer;DÍA|SEMANA|MES|AYER;no_recuerda|omitir;[DENUNCIA];
n-s6-seguimiento_prelim-04;6;4;¿Quiere hablar con el policía encargado?;HABLAR_POLICIA;seguimiento;hearing;question;C;Q.SEG.HABLAR_POLICIA;POLICÍA|HABLAR|QUERER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-05;6;5;¿Necesita hablar con un abogado?;HABLAR_ABOGADO;seguimiento;hearing;question;C;Q.SEG.HABLAR_ABOGADO;ABOGADO|HABLAR|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-06;6;6;¿Necesita defensa pública gratuita?;SEPDEP;seguimiento;hearing;question;C;Q.SEG.DEFENSA_PUBLICA;ABOGADO|GRATIS|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;d(SEPDEP);
n-s6-seguimiento_prelim-07;6;7;¿Necesita saber dónde está la Fiscalía?;FISCALIA;seguimiento;hearing;question;C;Q.SEG.DONDE_FISCALIA;DÓNDE;si|no;SÍ|NO;omitir;d(FISCALÍA);
n-s6-seguimiento_prelim-08;6;8;¿Recibió un papel de convocatoria?;CITACION;seguimiento;hearing;question;C;Q.SEG.CITACION;PAPEL|CONVOCAR|RECIBIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-09;6;9;¿Tiene que volver otro día?;RETORNO;seguimiento;hearing;question;C;Q.SEG.RETORNO;VOLVER|DÍA|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-seguimiento_prelim-10;6;10;¿Prefiere que le avisemos por escrito?;AVISO_ESCRITO;seguimiento;hearing;question;C;Q.ID.AVISO;AVISAR|ESCRIBIR|ENVIAR|MEJOR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-interaccion_con_fi-01;6;1;¿Necesita hablar con el fiscal?;HABLAR_FISCAL;seguimiento;hearing;question;C;Q.SEG.HABLAR_FISCAL;HABLAR|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;d(FISCAL);
n-s6-interaccion_con_fi-02;6;2;¿Le indicaron ir a la Fiscalía?;DERIVACION_FISCALIA;seguimiento;hearing;question;C;Q.SEG.DERIVACION_FISCALIA;IR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;d(FISCALÍA);
n-s6-interaccion_con_fi-03;6;3;¿Recibió una resolución?;RECIBIR_RESOLUCION;seguimiento;hearing;question;C;Q.SEG.RESOLUCION;RESOLUCIÓN|RECIBIR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-interaccion_con_fi-04;6;4;¿Debe presentarse ante un juez?;JUEZ;seguimiento;hearing;question;C;Q.SEG.JUEZ;JUEZ|PRESENTAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-interaccion_con_fi-05;6;5;¿Sabe dónde está el Órgano Judicial?;ORGANO_JUDICIAL;seguimiento;hearing;question;C;Q.SEG.ORGANO_JUDICIAL;ÓRGANO_JUDICIAL|DÓNDE;si|no;SÍ|NO;omitir;;
n-s6-interaccion_con_fi-06;6;6;¿Necesita intérprete para esa reunión?;INTERPRETE_REUNION;seguimiento;hearing;question;C;Q.SEG.INTERPRETE_REUNION;INTÉRPRETE|REUNIÓN|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-interaccion_con_fi-07;6;7;¿Quiere leer el papel antes de escribir su nombre?;LECTURA_ANTES_FIRMA;seguimiento;hearing;question;C;Q.SEG.LEER_ANTES_FIRMAR;PAPEL|LEER|NOMBRE|ESCRIBIR|QUERER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-interaccion_con_fi-08;6;8;¿Está de acuerdo con lo escrito?;CONFORMIDAD;seguimiento;hearing;question;C;Q.SEG.CONFORMIDAD;ESTAR_DE_ACUERDO|ESCRIBIR;si|no|leer|no_entiendo;ESTAR_DE_ACUERDO|NO|LEER|NO;omitir;;
n-s7-acceso_y_comunicac-01;7;1;¿Aquí hay intérprete de LSB?;SIN_INTENCION;identificacion;deaf;question;A|B;;INTÉRPRETE|AQUÍ|TENER;;;;;
n-s7-acceso_y_comunicac-02;7;2;¿Puede escribir lo que me pregunta?;SIN_INTENCION;identificacion;deaf;question;A|B;;TÚ|ESCRIBIR|PUEDO;;;;;
n-s7-acceso_y_comunicac-03;7;3;¿Puede hablar más despacio?;SIN_INTENCION;identificacion;deaf;question;A|B;;TÚ|LENTO|HABLAR|PUEDO;;;;;
n-s7-acceso_y_comunicac-04;7;4;¿Puede mostrarme otra vez?;SIN_INTENCION;identificacion;deaf;question;A|B;;VOLVER|MOSTRAR|PUEDO;;;;;
n-s7-acceso_y_comunicac-05;7;5;¿Puedo leer primero?;SIN_INTENCION;identificacion;deaf;question;A|B;;YO|LEER|PRIMERA_VEZ|PUEDO;;;;;
n-s7-acceso_y_comunicac-06;7;6;¿Me entiende?;SIN_INTENCION;identificacion;deaf;question;A|B;;TÚ|YO|COMPRENDER;;;;;
n-s7-acceso_y_comunicac-07;7;7;¿Puedo venir con mi intérprete?;SIN_INTENCION;identificacion;deaf;question;A|B;;INTÉRPRETE|ACOMPAÑAR|VENIR|PUEDO;;;;;
n-s7-acceso_y_comunicac-08;7;8;¿Pueden avisarme por mensaje escrito?;SIN_INTENCION;identificacion;deaf;question;A|B;;AVISAR|CELULAR|ESCRIBIR|ENVIAR|PUEDO;;;;;
n-s7-denuncia_y_relato-01;7;1;¿Puedo presentar mi denuncia aquí?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;PRESENTAR|AQUÍ|PUEDO;;;;[DENUNCIA];
n-s7-denuncia_y_relato-02;7;2;¿Quién va a recibir mi denuncia?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;QUIÉN|RECIBIR;;;;[DENUNCIA];
n-s7-denuncia_y_relato-03;7;3;¿Tengo que contar todo ahora?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;YO|TOTAL|NARRAR|AHORA|NECESITAR;;;;;
n-s7-denuncia_y_relato-04;7;4;¿Puedo explicar despacio?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;YO|LENTO|EXPLICAR|PUEDO;;;;;
n-s7-denuncia_y_relato-05;7;5;¿Puedo agregar información después?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;AUMENTAR|NARRAR|DESPUÉS|PUEDO;;;;;
