pregunta;dominio;formulacion;control;campos;modo;recorridos;nodos;opcion;etiqueta;glosas;acepcionNucleo;estado;salida;editor;frase;fraseSinValor;sinSena;rutas
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;policia;La Policía;POLICÍA|DÓNDE;institucion|persona;afirmado;False;;¿Dónde está la Policía?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;oficina;La oficina;OFICINA|DÓNDE;institucion;afirmado;False;;¿Dónde está la oficina?;;False;recorrido
I.PREG.ELEGIR;intervencion_propia;¿Qué quieres preguntar?;seleccion_unica;interrogativa;frase;preguntas#1;;donde;¿Dónde…?;DÓNDE;interrogativa;afirmado;False;;;;False;recorrido
I.PREG.ELEGIR;intervencion_propia;¿Qué quieres preguntar?;seleccion_unica;interrogativa;frase;preguntas#1;;hablar;¿Con quién puedo hablar?;QUIÉN;interrogativa;afirmado;False;;;;False;recorrido
I.PREG.ELEGIR;intervencion_propia;¿Qué quieres preguntar?;seleccion_unica;interrogativa;frase;preguntas#1;;cuando;¿Cuándo…?;CUÁNDO;interrogativa;afirmado;False;;;;False;recorrido
I.PREG.ELEGIR;intervencion_propia;¿Qué quieres preguntar?;seleccion_unica;interrogativa;frase;preguntas#1;;cuanto;¿Cuánto tiempo…?;CUÁNTOS;interrogativa;afirmado;False;;;;False;recorrido
I.PREG.ELEGIR;intervencion_propia;¿Qué quieres preguntar?;seleccion_unica;interrogativa;frase;preguntas#1;;tema;Otra pregunta;QUÉ;interrogativa;afirmado;False;;;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;juez;Con el juez;JUEZ;persona|servicio;afirmado;False;;¿Puedo hablar con el juez?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;abogado;Con un abogado;ABOGADO;persona|servicio;afirmado;False;;¿Puedo hablar con un abogado?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;interprete;Con un intérprete;INTÉRPRETE;persona|servicio;afirmado;False;;¿Aquí hay intérprete de LSB?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;policia;Con el policía encargado;POLICÍA|HABLAR|PUEDO;institucion|persona;afirmado;False;;¿Puedo hablar con el policía encargado?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;oficial;Con un oficial;OFICIAL;persona|servicio;afirmado;False;;¿Puedo hablar con un oficial?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;autoridad;Con la autoridad;AUTORIDAD;institucion;afirmado;False;;¿Puedo hablar con la autoridad?;;False;recorrido
I.PREG.HABLAR_CON;intervencion_propia;¿Con quién quiere hablar?;seleccion_unica;servicio|persona|institucion;frase;seguimiento#2|preguntas#3;;asistente;Con el asistente;ASISTENTE;persona|servicio;afirmado;False;;¿Puedo hablar con el asistente?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;traer_factura;¿Debo traer la factura?;FACTURA|TRAER|NECESITAR;documento|evidencia;afirmado;False;;¿Debo traer la factura del celular?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;fotocopia;¿Necesito fotocopias?;FOTOCOPIA|NECESITAR;documento;afirmado;False;;¿Necesito fotocopias?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;certificado;¿Necesito un certificado?;CERTIFICADO|NECESITAR;documento|evidencia;afirmado;False;;¿Necesito un certificado?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;buscar_celular;¿Pueden buscar mi celular?;CELULAR|BUSCAR|PUEDO;medio|objeto;afirmado;False;;¿Pueden buscar mi celular?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;fotos;¿Dónde entrego las fotos?;FOTOS|DÓNDE|DAR;evidencia|objeto;afirmado;False;;¿Dónde entrego las fotografías?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;video;¿Puedo traer el video mañana?;VIDEO|MAÑANA|TRAER|PUEDO;evidencia;afirmado;False;;¿Puedo traer el video mañana?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;sello;¿Me entregan un documento sellado?;PAPEL|SELLO|RECIBIR;documento;afirmado;False;;¿Me entregan un documento sellado?;;False;recorrido
I.PREG.SOBRE_TEMA;intervencion_propia;¿Sobre qué quiere preguntar?;seleccion_unica;documento|consulta|objeto|evidencia;frase;preguntas#6;;investigacion;¿La investigación continúa?;INVESTIGACIÓN|CONTINUAR;consulta;afirmado;False;;¿La investigación continúa?;;False;recorrido
Q.ACC.COMPRENSION;acceso;¿Comprende lo que le estoy explicando?;alternativa;polaridad|consulta|modificador;frase;;n-s6-acceso_comunicativ-05;si;Sí, comprendo;SÍ;polaridad;afirmado;False;;Sí, comprendo.;;False;respuesta al funcionario
Q.ACC.COMPRENSION;acceso;¿Comprende lo que le estoy explicando?;alternativa;polaridad|consulta|modificador;frase;;n-s6-acceso_comunicativ-05;no;No comprendo;NO|COMPRENDER;polaridad;afirmado;False;;No comprendo.;;False;respuesta al funcionario
Q.ACC.COMPRENSION;acceso;¿Comprende lo que le estoy explicando?;alternativa;polaridad|consulta|modificador;frase;;n-s6-acceso_comunicativ-05;despacio;Explíqueme despacio;LENTO|EXPLICAR|POR_FAVOR;modificador;afirmado;False;;No comprendo. Explíqueme despacio, por favor.;;False;respuesta al funcionario
Q.ACC.ESCRITO;acceso;¿Prefiere que le escriba en papel?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-03;si;Sí;SÍ;polaridad;afirmado;False;;Sí, prefiero que me escriba.;;False;respuesta al funcionario
Q.ACC.ESCRITO;acceso;¿Prefiere que le escriba en papel?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-03;no;No;NO;polaridad;negado;False;;No quiero que me escriba en papel.;;False;respuesta al funcionario
Q.ACC.ESCRITO;acceso;¿Prefiere que le escriba en papel?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-03;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé qué prefiero.;;False;respuesta al funcionario
Q.ACC.INTERPRETE;acceso;¿Necesita un intérprete de LSB?;polar3;polaridad;frase;identificacion#9;n-s6-acceso_comunicativ-02;si;Sí;SÍ;polaridad;afirmado;False;;Sí, necesito un intérprete de LSB.;;False;recorrido|respuesta al funcionario
Q.ACC.INTERPRETE;acceso;¿Necesita un intérprete de LSB?;polar3;polaridad;frase;identificacion#9;n-s6-acceso_comunicativ-02;no;No;NO;polaridad;negado;False;;No necesito intérprete.;;False;recorrido|respuesta al funcionario
Q.ACC.INTERPRETE;acceso;¿Necesita un intérprete de LSB?;polar3;polaridad;frase;identificacion#9;n-s6-acceso_comunicativ-02;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si necesito intérprete.;;False;recorrido|respuesta al funcionario
Q.ACC.LECTURA;acceso;¿Puede leer este texto?;alternativa;polaridad|consulta;frase;identificacion#10;n-s6-acceso_comunicativ-04;si;Sí, puedo leerlo;SÍ;polaridad;afirmado;False;;Sí, puedo leerlo.;;False;recorrido|respuesta al funcionario
Q.ACC.LECTURA;acceso;¿Puede leer este texto?;alternativa;polaridad|consulta;frase;identificacion#10;n-s6-acceso_comunicativ-04;poco;Leo poco;LEER|POCO;consulta;afirmado;False;;Leo poco.;;False;recorrido|respuesta al funcionario
Q.ACC.LECTURA;acceso;¿Puede leer este texto?;alternativa;polaridad|consulta;frase;identificacion#10;n-s6-acceso_comunicativ-04;no;No puedo leerlo;NO;polaridad;afirmado;False;;No puedo leerlo.;;False;recorrido|respuesta al funcionario
Q.ACC.REPARACION;acceso;¿Quiere que lo explique otra vez y más despacio?;polar2;polaridad;frase;;n-s6-acceso_comunicativ-06;si;Sí;SÍ;polaridad;afirmado;False;;Sí, explíquelo otra vez más despacio, por favor.;;False;respuesta al funcionario
Q.ACC.REPARACION;acceso;¿Quiere que lo explique otra vez y más despacio?;polar2;polaridad;frase;;n-s6-acceso_comunicativ-06;no;No;NO;polaridad;negado;False;;No hace falta, entendí.;;False;respuesta al funcionario
Q.ACC.SORDO;acceso;¿Usted es una persona sorda?;polar2;polaridad;frase;;n-s6-acceso_comunicativ-01;si;Sí;SÍ;polaridad;afirmado;False;;Sí, soy una persona sorda.;;False;respuesta al funcionario
Q.ACC.SORDO;acceso;¿Usted es una persona sorda?;polar2;polaridad;frase;;n-s6-acceso_comunicativ-01;no;No;NO;polaridad;negado;False;;No soy una persona sorda.;;False;respuesta al funcionario
Q.APO.TIPO;apoyo;¿Qué apoyo necesita?;seleccion_unica;servicio|institucion;frase;violencia#19;;abogado;Un abogado;ABOGADO;persona|servicio;afirmado;False;;Necesito un abogado.;;False;recorrido
Q.APO.TIPO;apoyo;¿Qué apoyo necesita?;seleccion_unica;servicio|institucion;frase;violencia#19;;abogado_gratis;Un abogado gratuito;ABOGADO|GRATIS;persona|servicio;afirmado;False;;Necesito un abogado gratuito.;;False;recorrido
Q.APO.TIPO;apoyo;¿Qué apoyo necesita?;seleccion_unica;servicio|institucion;frase;violencia#19;;sepdavi;Asistencia a la víctima (SEPDAVI);ASISTENCIA|SEPDAVI;servicio;afirmado;False;;Quiero asistencia de SEPDAVI.;;False;recorrido
Q.APO.TIPO;apoyo;¿Qué apoyo necesita?;seleccion_unica;servicio|institucion;frase;violencia#19;;felcv;FELCV;FELCV;institucion;afirmado;False;;Quiero acudir a la FELCV.;;False;recorrido
Q.APO.TIPO;apoyo;¿Qué apoyo necesita?;seleccion_unica;servicio|institucion;frase;violencia#19;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé qué apoyo necesito.;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;puerta;Una puerta;PUERTA;objeto;afirmado;False;;la puerta;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;celular;Celular;CELULAR;medio|objeto;afirmado;False;;el celular;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;casa;Mi casa;CASA;lugar|objeto;afirmado;False;;mi casa;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;tienda;Mi tienda;TIENDA;lugar|objeto;afirmado;False;;mi tienda;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;otro;Otra cosa (escribir);;;afirmado;False;texto_detalle;«{texto}»;;False;recorrido
Q.DAN.QUE;robo;¿Qué dañaron?;seleccion_multiple;objeto|lugar;fragmento;denuncia_robo#6;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;algo mío;;False;recorrido
Q.DEN.AUTORIDAD;denuncia;¿Ante qué institución quiere presentarla?;seleccion_unica;institucion;frase;denuncia_robo#27|violencia#21|amenaza_digital#10|engano_dinero#10;;policia;Policía;POLICÍA;institucion|persona;afirmado;False;;Quiero presentarla ante la Policía.;;False;recorrido
Q.DEN.AUTORIDAD;denuncia;¿Ante qué institución quiere presentarla?;seleccion_unica;institucion;frase;denuncia_robo#27|violencia#21|amenaza_digital#10|engano_dinero#10;;felcc;FELCC;FELCC;institucion;afirmado;False;;Quiero presentarla ante la FELCC.;;False;recorrido
Q.DEN.AUTORIDAD;denuncia;¿Ante qué institución quiere presentarla?;seleccion_unica;institucion;frase;denuncia_robo#27|violencia#21|amenaza_digital#10|engano_dinero#10;;felcv;FELCV;FELCV;institucion;afirmado;False;;Quiero presentarla ante la FELCV.;;False;recorrido
Q.DEN.AUTORIDAD;denuncia;¿Ante qué institución quiere presentarla?;seleccion_unica;institucion;frase;denuncia_robo#27|violencia#21|amenaza_digital#10|engano_dinero#10;;fiscalia;Fiscalía;FISCALIA;institucion;afirmado;False;;Quiero presentarla ante la Fiscalía.;;False;recorrido
Q.DEN.AUTORIDAD;denuncia;¿Ante qué institución quiere presentarla?;seleccion_unica;institucion;frase;denuncia_robo#27|violencia#21|amenaza_digital#10|engano_dinero#10;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé ante qué institución presentarla.;;False;recorrido
Q.DEN.INTENCION;denuncia;¿Desea presentar una denuncia?;polar3;polaridad;frase;denuncia_robo#26|violencia#20|amenaza_digital#9|engano_dinero#9;n-s6-inicio_de_denuncia-01;si;Sí;SÍ;polaridad;afirmado;False;;Sí, quiero presentar una denuncia.;;False;recorrido|respuesta al funcionario
Q.DEN.INTENCION;denuncia;¿Desea presentar una denuncia?;polar3;polaridad;frase;denuncia_robo#26|violencia#20|amenaza_digital#9|engano_dinero#9;n-s6-inicio_de_denuncia-01;no;No;NO;polaridad;negado;False;;Por ahora no quiero presentar una denuncia.;;False;recorrido|respuesta al funcionario
Q.DEN.INTENCION;denuncia;¿Desea presentar una denuncia?;polar3;polaridad;frase;denuncia_robo#26|violencia#20|amenaza_digital#9|engano_dinero#9;n-s6-inicio_de_denuncia-01;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;Todavía no sé si quiero presentar una denuncia.;;False;recorrido|respuesta al funcionario
Q.DIG.CANAL;mensajes;¿Por dónde le llegaron los mensajes?;seleccion_multiple;medio;frase;amenaza_digital#2;;celular;Por celular;CELULAR;medio|objeto;afirmado;False;;por celular;;False;recorrido
Q.DIG.CANAL;mensajes;¿Por dónde le llegaron los mensajes?;seleccion_multiple;medio;frase;amenaza_digital#2;;internet;Por internet;INTERNET;medio;afirmado;False;;por internet;;False;recorrido
Q.DIG.CANAL;mensajes;¿Por dónde le llegaron los mensajes?;seleccion_multiple;medio;frase;amenaza_digital#2;;otro;Otra aplicación (escribir);;;afirmado;False;texto_detalle;por «{texto}»;;False;recorrido
Q.DIG.CANAL;mensajes;¿Por dónde le llegaron los mensajes?;seleccion_multiple;medio;frase;amenaza_digital#2;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé por dónde llegaron los mensajes.;;False;recorrido
Q.DIG.CANT_NUMEROS;mensajes;¿Son uno o varios números?;alternativa;cantidad;frase;;n-s6-amenazas_mensajes-07;uno;Un solo número;1;cantidad|compania;afirmado;False;;Es un solo número.;;False;respuesta al funcionario
Q.DIG.CANT_NUMEROS;mensajes;¿Son uno o varios números?;alternativa;cantidad;frase;;n-s6-amenazas_mensajes-07;varios;Varios números;;;afirmado;False;entero;Son {n} números.;Son varios números.;False;respuesta al funcionario
Q.DIG.CANT_NUMEROS;mensajes;¿Son uno o varios números?;alternativa;cantidad;frase;;n-s6-amenazas_mensajes-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé cuántos números son.;;False;respuesta al funcionario
Q.DIG.CAPTURAS;mensajes;¿Tiene fotos de la pantalla?;polar3;polaridad;frase;amenaza_digital#8;n-s6-amenazas_mensajes-05;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo fotos de la pantalla.;;False;recorrido|respuesta al funcionario
Q.DIG.CAPTURAS;mensajes;¿Tiene fotos de la pantalla?;polar3;polaridad;frase;amenaza_digital#8;n-s6-amenazas_mensajes-05;no;No;NO;polaridad;negado;False;;No tengo fotos de la pantalla.;;False;recorrido|respuesta al funcionario
Q.DIG.CAPTURAS;mensajes;¿Tiene fotos de la pantalla?;polar3;polaridad;frase;amenaza_digital#8;n-s6-amenazas_mensajes-05;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo fotos de la pantalla.;;False;recorrido|respuesta al funcionario
Q.DIG.CONTENIDO;mensajes;¿Qué decían los mensajes?;seleccion_unica;hecho;frase;amenaza_digital#1;;amenazas;Me amenazaban;AMENAZAR;hecho;afirmado;False;;Recibí mensajes con amenazas.;;False;recorrido
Q.DIG.CONTENIDO;mensajes;¿Qué decían los mensajes?;seleccion_unica;hecho;frase;amenaza_digital#1;;otro;Otra cosa (escribir un resumen);;;afirmado;False;texto_detalle;Recibí mensajes que decían: «{texto}».;;False;recorrido
Q.DIG.CONTINUA;mensajes;¿Sigue recibiendo mensajes?;polar3;polaridad;frase;amenaza_digital#6;n-s6-amenazas_mensajes-06;si;Sí;SÍ;polaridad;afirmado;False;;Sí, sigo recibiendo mensajes.;;False;recorrido|respuesta al funcionario
Q.DIG.CONTINUA;mensajes;¿Sigue recibiendo mensajes?;polar3;polaridad;frase;amenaza_digital#6;n-s6-amenazas_mensajes-06;no;No;NO;polaridad;negado;False;;Ya no recibo mensajes.;;False;recorrido|respuesta al funcionario
Q.DIG.CONTINUA;mensajes;¿Sigue recibiendo mensajes?;polar3;polaridad;frase;amenaza_digital#6;n-s6-amenazas_mensajes-06;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;recorrido|respuesta al funcionario
Q.DIG.GUARDO;mensajes;¿Guardó los mensajes?;polar3;polaridad;frase;amenaza_digital#7;n-s6-amenazas_mensajes-04;si;Sí;SÍ;polaridad;afirmado;False;;Sí, guardé los mensajes.;;False;recorrido|respuesta al funcionario
Q.DIG.GUARDO;mensajes;¿Guardó los mensajes?;polar3;polaridad;frase;amenaza_digital#7;n-s6-amenazas_mensajes-04;no;No;NO;polaridad;negado;False;;No guardé los mensajes.;;False;recorrido|respuesta al funcionario
Q.DIG.GUARDO;mensajes;¿Guardó los mensajes?;polar3;polaridad;frase;amenaza_digital#7;n-s6-amenazas_mensajes-04;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si se guardaron.;;False;recorrido|respuesta al funcionario
Q.DIG.GUARDO;mensajes;¿Guardó los mensajes?;polar3;polaridad;frase;amenaza_digital#7;n-s6-amenazas_mensajes-04;todos;Sí, todos;SÍ|TOTAL;polaridad;afirmado;False;;Sí, guardé todos los mensajes.;;False;recorrido|respuesta al funcionario
Q.DIG.MOSTRAR;mensajes;¿Puede mostrar el celular ahora?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-08;si;Sí;SÍ;polaridad;afirmado;False;;Sí, puedo mostrar el celular ahora.;;False;respuesta al funcionario
Q.DIG.MOSTRAR;mensajes;¿Puede mostrar el celular ahora?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-08;no;No;NO;polaridad;negado;False;;No puedo mostrarlo ahora.;;False;respuesta al funcionario
Q.DIG.MOSTRAR;mensajes;¿Puede mostrar el celular ahora?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;respuesta al funcionario
Q.DIG.NUMERO_CONOCE;mensajes;¿Conoce el número desde el que le escribieron?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-03;si;Sí;SÍ;polaridad;afirmado;False;telefono;Sí, el número es {telefono}.;Sí, conozco el número.;False;respuesta al funcionario
Q.DIG.NUMERO_CONOCE;mensajes;¿Conoce el número desde el que le escribieron?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-03;no;No;NO;polaridad;negado;False;;No conozco el número.;;False;respuesta al funcionario
Q.DIG.NUMERO_CONOCE;mensajes;¿Conoce el número desde el que le escribieron?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-03;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro del número.;;False;respuesta al funcionario
Q.DIG.POR_CELULAR;mensajes;¿Las amenazas llegaron por celular?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-01;si;Sí;SÍ;polaridad;afirmado;False;;Sí, llegaron por celular.;;False;respuesta al funcionario
Q.DIG.POR_CELULAR;mensajes;¿Las amenazas llegaron por celular?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-01;no;No;NO;polaridad;negado;False;;No llegaron por celular.;;False;respuesta al funcionario
Q.DIG.POR_CELULAR;mensajes;¿Las amenazas llegaron por celular?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-01;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;respuesta al funcionario
Q.DIG.POR_INTERNET;mensajes;¿Le escribieron por internet?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-02;si;Sí;SÍ;polaridad;afirmado;False;;Sí, me escribieron por internet.;;False;respuesta al funcionario
Q.DIG.POR_INTERNET;mensajes;¿Le escribieron por internet?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-02;no;No;NO;polaridad;negado;False;;No me escribieron por internet.;;False;respuesta al funcionario
Q.DIG.POR_INTERNET;mensajes;¿Le escribieron por internet?;polar3;polaridad;frase;;n-s6-amenazas_mensajes-02;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;respuesta al funcionario
Q.DIG.REMITENTE;mensajes;¿Quién le envió los mensajes?;persona_identidad;persona;frase;amenaza_digital#3;;conoce;Sé quién es;CONOCER;hecho|persona;afirmado;False;;Sé quién me envía los mensajes.;;False;recorrido
Q.DIG.REMITENTE;mensajes;¿Quién le envió los mensajes?;persona_identidad;persona;frase;amenaza_digital#3;;solo_numero;Solo conozco el número;;;afirmado;False;telefono;"No conozco su nombre; el número que aparece es {telefono}.";;False;recorrido
Q.DIG.REMITENTE;mensajes;¿Quién le envió los mensajes?;persona_identidad;persona;frase;amenaza_digital#3;;hombre;Un hombre (no sé quién);HOMBRE;persona;afirmado;False;;"Me los envía un hombre; no sé quién es.";;False;recorrido
Q.DIG.REMITENTE;mensajes;¿Quién le envió los mensajes?;persona_identidad;persona;frase;amenaza_digital#3;;mujer;Una mujer (no sé quién);MUJER;persona;afirmado;False;;"Me los envía una mujer; no sé quién es.";;False;recorrido
Q.DIG.REMITENTE;mensajes;¿Quién le envió los mensajes?;persona_identidad;persona;frase;amenaza_digital#3;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé quién me envía los mensajes.;;False;recorrido
Q.DIN.CHAT;dinero;¿Conserva toda la conversación?;polar3;polaridad;frase;engano_dinero#7;n-s6-engaño_dinero_y_t-08;si;Sí;SÍ;polaridad;afirmado;False;;Sí, conservo toda la conversación.;;False;recorrido|respuesta al funcionario
Q.DIN.CHAT;dinero;¿Conserva toda la conversación?;polar3;polaridad;frase;engano_dinero#7;n-s6-engaño_dinero_y_t-08;no;No;NO;polaridad;negado;False;;No conservo la conversación.;;False;recorrido|respuesta al funcionario
Q.DIN.CHAT;dinero;¿Conserva toda la conversación?;polar3;polaridad;frase;engano_dinero#7;n-s6-engaño_dinero_y_t-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si la conservo.;;False;recorrido|respuesta al funcionario
Q.DIN.COMPROBANTE;dinero;¿Tiene algún comprobante?;polar3;polaridad;frase;engano_dinero#4;n-s6-engaño_dinero_y_t-04;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo {Q.DIN.COMPROBANTE_TIPO|un comprobante}.;;False;recorrido|respuesta al funcionario
Q.DIN.COMPROBANTE;dinero;¿Tiene algún comprobante?;polar3;polaridad;frase;engano_dinero#4;n-s6-engaño_dinero_y_t-04;no;No;NO;polaridad;negado;False;;No tengo comprobante.;;False;recorrido|respuesta al funcionario
