id;glosa;claseLexica;significadoDocumentado;idCorpus;referenciaCorpus;estadoValidacion;rolEnsamblador;funcionSemantica;necesidades;fuenteNecesidad;soloTransversal;camposRespuesta;actosComunicativos;nodosQueLaUsan;representacion;avatar;restriccion;motivoSinUso
g011;VOLVER;sena_lexica;Volver;M2-T02-13;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity|time;question|statement;9;sena_documentada;placeholder;;
g012;FOTOS;sena_lexica;Fotos;M3-T15-13;M3 · Cumpleaños · p.117;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;False;evidence|object|place|polarity;question|statement;7;sena_documentada;placeholder;;
g013;INTÉRPRETE;sena_lexica;Intérprete;M4-T11-06;M4 · General II · p.99;trazada en corpus §12;servicio;interaccion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;8;sena_documentada;placeholder;;
g014;DAR;sena_lexica;Dar;M2-T02-27;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;denuncias;uso en el grafo;False;evidence|object|place|polarity;question;3;sena_documentada;placeholder;;
g015;NOMBRE;sena_lexica;Nombre;M1-T01-15;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;free_text|person|polarity|time;question|statement;7;sena_documentada;placeholder;;
g016;CASA;sena_lexica;Casa;M1-T05-01;M1 · Lugares · p.71;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g017;VER;sena_lexica;Ver;M1-T12-16;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|object|person|polarity;question|statement;6;sena_documentada;placeholder;;
g018;CUÁNDO;sena_lexica;¿Cuándo?;M1-T11-09;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;time;question;3;sena_documentada;placeholder;;
g019;QUÉ;sena_lexica;¿Qué?;M1-T11-05;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question;5;sena_documentada;placeholder;;
g020;TRAER;sena_lexica;Traer;M3-T12-03;M3 · Opuestos II · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|object|person|polarity;question;6;sena_documentada;placeholder;;
g021;HORA;sena_lexica;Hora;M3-T17-03;M3 · Tiempo III · p.129;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;amount|free_text|polarity|time;question|statement;4;sena_documentada;placeholder;;
g022;QUEJAR;sena_lexica;Quejar;M4-T10-04;M4 · Política II · p.89;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;No es una seña directa de DENUNCIA. La composición QUEJAR + AUTORIDAD es provisional y está sin validar (corpus §4).;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g023;BILLETES;sena_lexica;Billetes;M4-T17-13;M4 · Escuela II · p.129;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;False;amount|object|polarity;question|statement;7;sena_documentada;placeholder;No sustituye BILLETERA. Son cosas distintas.;
g024;CUÁL;sena_lexica;¿Cuál?;M1-T11-06;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|person|place|polarity;question;9;sena_documentada;placeholder;;
g025;CUÁNTOS;sena_lexica;¿Cuántos?;M1-T11-08;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;amount|evidence|object|person|polarity|time;question;5;sena_documentada;placeholder;;
g026;ENVIAR;sena_lexica;Enviar;M4-T04-24;M4 · Opuestos II · p.51;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|object|polarity;question|statement;10;sena_documentada;placeholder;;
g027;MAÑANA;sena_lexica;Mañana;M1-T15-09;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;evidence|person|polarity;question;2;sena_documentada;placeholder;;
g028;QUIÉN;sena_lexica;¿Quién?;M1-T11-01;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;person;question;2;sena_documentada;placeholder;;
g029;ESPERAR;sena_lexica;Esperar;M2-T02-19;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|tramites;uso en el grafo;False;amount|time;question;1;sena_documentada;placeholder;;
g030;GUARDAR;sena_lexica;Guardar;M4-T02-14;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;3;sena_documentada;placeholder;;
g031;HOMBRE;sena_lexica;Hombre;M1-T02-01;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;uso en el grafo;False;object|person|polarity;question|statement;4;sena_documentada;placeholder;;
g032;NO;sena_lexica;No;M1-T01-17;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|institution|object|person|place|polarity|time;question;138;sena_documentada;baked;;
g033;DÓNDE;sena_lexica;¿Dónde?;M1-T11-02;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;uso en el grafo;False;evidence|institution|place|polarity;question;7;sena_documentada;placeholder;;
g034;EXPLICAR;sena_lexica;Explicar;M4-T02-12;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;4;sena_documentada;placeholder;;
g035;IDENTIDAD;sena_lexica;Identidad;M4-T09-17;M4 · Diálogo II · p.83;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|person|polarity;question|statement;4;sena_documentada;placeholder;;
g036;MOSTRAR;sena_lexica;Mostrar;M3-T15-10;M3 · Cumpleaños · p.117;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|object|polarity;question;5;sena_documentada;placeholder;;
g037;SABER;sena_lexica;Saber;M3-T04-05;M3 · Verbos III · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g038;ABOGADO;sena_lexica;Abogado;M2-T10-10;M2 · Trabajo · p.79;trazada en corpus §12;servicio;interaccion;consultas|denuncias|tramites;uso en el grafo;False;free_text|institution|object|polarity;question|statement;8;sena_documentada;placeholder;;
g039;AYER;sena_lexica;Ayer;M1-T15-05;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;polarity|time;question|statement;2;sena_documentada;placeholder;;
g040;FECHA;sena_lexica;Fecha;M1-T15-11;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;denuncias;uso en el grafo;False;time;question;1;sena_documentada;placeholder;;
g041;NO_PUEDO;sena_lexica;No puedo;M1-T01-12;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g042;COMPRENDER;sena_lexica;Comprender;M1-T12-24;M1 · Verbos · p.101;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;True;free_text|polarity;question|statement;4;sena_documentada;placeholder;;
g043;ELLA;sena_lexica;Ella;M1-T14-06;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g044;GRACIAS;sena_lexica;Gracias;M1-T01-06;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;baked;;
g045;JUEZ;sena_lexica;Juez;M3-T02-21;M3 · Política I · p.43;trazada en corpus §12;institucion;institucion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;5;sena_documentada;placeholder;;
g046;LEER;sena_lexica;Leer;M2-T02-29;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity|time;question|statement;6;sena_documentada;placeholder;;
g047;MUJER;sena_lexica;Mujer;M1-T02-02;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;denuncias;uso en el grafo;False;person|polarity;question;2;sena_documentada;placeholder;;
g048;OFICINA;sena_lexica;Oficina;M3-T16-23;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g049;RECIBIR;sena_lexica;Recibir;M4-T04-23;M4 · Opuestos II · p.51;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|person|polarity;question|statement;8;sena_documentada;placeholder;;
g050;RECORDAR;sena_lexica;Recordar;M2-T02-04;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g051;VIDEO;sena_lexica;Video;M3-T15-09;M3 · Cumpleaños · p.117;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;False;evidence|object|place|polarity;question|statement;6;sena_documentada;placeholder;;
g052;AYUDAR;sena_lexica;Ayudar;M1-T12-23;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|institution|polarity;question|statement;5;sena_documentada;placeholder;;
g053;DAÑAR;sena_lexica;Dañar;M4-T11-09;M4 · General II · p.99;trazada en corpus §12;verboAgresion;accion;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g054;HOY;sena_lexica;Hoy;M1-T15-07;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;denuncias;uso en el grafo;False;polarity|time;question;1;sena_documentada;placeholder;;
g055;LENTO;sena_lexica;Lento;M2-T01-06;M2 · Opuestos · p.33;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;4;sena_documentada;placeholder;;
g056;NO_SABER;sena_lexica;No saber;M3-T04-06;M3 · Verbos III · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;amount|evidence|free_text|institution|object|person|place|polarity|time;question|statement;209;sena_documentada;placeholder;Expresa desconocimiento. No equivale a negar ni a omitir la respuesta: son tres estados distintos.;
g057;CERTIFICADO;sena_lexica;Certificado;M4-T17-10;M4 · Escuela II · p.129;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;evidence|place|polarity;question|statement;6;sena_documentada;placeholder;Fuente léxica en sección escolar (M4 · Escuela II · p.129). Su presencia NO valida los sentidos registrales (certificado de propiedad, de no propiedad).;
g058;FACTURA;sena_lexica;Factura;M3-T14-09;M3 · General I · p.111;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;evidence|object|polarity;question|statement;4;sena_documentada;placeholder;;
g059;MIEDO;sena_lexica;Miedo;M3-T12-05;M3 · Opuestos II · p.101;trazada en corpus §12;emocion;estado;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g060;PEGAR;sena_lexica;Pegar;M3-T14-08;M3 · General I · p.111;trazada en corpus §12;verboAgresion;accion;consultas|denuncias|tramites;uso en el grafo;False;person|polarity;question|statement;2;sena_documentada;placeholder;;
g061;POR_FAVOR;sena_lexica;Por favor;M1-T01-08;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g062;AMENAZAR;sena_lexica;Amenazar;M3-T04-04;M3 · Verbos III · p.55;trazada en corpus §12;verboAgresion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question|statement;4;sena_documentada;placeholder;;
g063;AVENIDA;sena_lexica;Avenida;M3-T16-04;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g064;CALLE;sena_lexica;Calle;M3-T16-02;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;True;place;statement;1;sena_documentada;placeholder;;
g065;AUTORIDAD;sena_lexica;Autoridad;M4-T10-46;M4 · Política II · p.89;trazada en corpus §12;institucion;institucion;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g066;CÓMO;sena_lexica;¿Cómo?;M1-T11-03;M1 · Preguntas · p.97;trazada en corpus §12;interrogativa;interaccion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g067;ENGAÑAR;sena_lexica;Engañar;M4-T09-22;M4 · Diálogo II · p.83;trazada en corpus §12;verboAgresion;accion;consultas|denuncias|tramites;uso en el grafo;True;object;statement;1;sena_documentada;placeholder;;
g068;HERIDA;sena_lexica;Herida;M3-T03-22;M3 · Salud · p.49;trazada en corpus §12;urgencia;estado;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g069;INVESTIGACIÓN;sena_lexica;Investigación;M3-T02-22;M3 · Política I · p.43;trazada en corpus §12;tramite;interaccion;consultas|denuncias|tramites;uso en el grafo;False;free_text|person|polarity;question|statement;5;sena_documentada;placeholder;;
g070;PROTEGER;sena_lexica;Proteger;M3-T04-13;M3 · Verbos III · p.55;trazada en corpus §12;verboAccion;accion;denuncias;uso en el grafo;False;person|polarity;question;2;sena_documentada;placeholder;;
g071;JUSTICIA;sena_lexica;Justicia;M3-T02-20;M3 · Política I · p.43;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g072;POLICÍA;sena_lexica;Policía;M2-T10-11;M2 · Trabajo · p.79;trazada en corpus §12;institucion;institucion;consultas|tramites;uso en el grafo;False;institution|polarity;question;2;sena_documentada;placeholder;;
g073;HOSPITAL;sena_lexica;Hospital;M1-T05-07;M1 · Lugares · p.71;trazada en corpus §12;institucion;institucion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;3;sena_documentada;placeholder;;
g074;ASISTENCIA;sena_lexica;Asistencia;D2024-p23;II Diccionario Bilingüe LSB-Castellano (2024), p.23;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;institution|polarity;question|statement;4;sena_documentada;placeholder;;
g075;AUXILIO;sena_lexica;Auxilio;D2024-p26;II Diccionario Bilingüe LSB-Castellano (2024), p.26;trazada en corpus §12;urgencia;estado;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g076;LADRÓN;sena_lexica;Ladrón/a;D2024-326;II Diccionario Bilingüe LSB-Castellano (2024), p.125;trazada en corpus §12;personaDesc;participante;denuncias;uso en el grafo;False;polarity;question;2;sena_documentada;placeholder;;
g077;NARRAR;sena_lexica;Narrar;D2024-p150;II Diccionario Bilingüe LSB-Castellano (2024), p.150;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;7;sena_documentada;placeholder;;
g078;OBSERVAR;sena_lexica;Observar;D2024-p155;II Diccionario Bilingüe LSB-Castellano (2024), p.155;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g079;PRESENTAR;sena_lexica;Presentar;D2024-471;II Diccionario Bilingüe LSB-Castellano (2024), p.178;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|polarity;question|statement;8;sena_documentada;placeholder;;
g080;RESOLUCIÓN;sena_lexica;Resolución;D2024-p188;II Diccionario Bilingüe LSB-Castellano (2024), p.188;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;3;sena_documentada;placeholder;;
g081;ROBAR;sena_lexica;Robar;D2024-499;II Diccionario Bilingüe LSB-Castellano (2024), p.190;trazada en corpus §12;verboAgresion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question|statement;5;sena_documentada;placeholder;;
g082;TESTIGO;sena_lexica;Testigo;D2024-557;II Diccionario Bilingüe LSB-Castellano (2024), p.212;trazada en corpus §12;testigo;participante;consultas|denuncias|tramites;uso en el grafo;False;amount|evidence|person|polarity;question|statement;9;sena_documentada;placeholder;NO + TESTIGO no fabrica testigos ni afirma que los haya. Ausencia de respuesta, negación e incertidumbre son estados distintos.;
g083;TESTIMONIO;sena_lexica;Testimonio;D2024-558;II Diccionario Bilingüe LSB-Castellano (2024), p.212;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g084;TRÁMITE;sena_lexica;Trámite;D2024-p216;II Diccionario Bilingüe LSB-Castellano (2024), p.216;trazada en corpus §12;tramite;interaccion;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;Entrada del Diccionario 2024 (p.216). Nombra la gestión, no un trámite institucional concreto ni su procedimiento.;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g085;VIOLENCIA;sena_lexica;Violencia;D2024-p228;II Diccionario Bilingüe LSB-Castellano (2024), p.228;trazada en corpus §12;urgencia;estado;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g086;MÍO;sena_lexica;Mío;M1-T14-12;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;uso en el grafo;False;object|place|polarity;question|statement;4;sena_documentada;placeholder;;
g087;TENER;sena_lexica;Tener;M2-T02-01;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|object|person|place|polarity;question|statement;30;sena_documentada;placeholder;;
g088;ELLOS;sena_lexica;Ellos;M1-T14-08;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|tramites;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g089;TUYO;sena_lexica;Tuyo;M1-T14-11;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;uso en el grafo;True;free_text|object|polarity;question;2;sena_documentada;placeholder;;
g090;PASADO;sena_lexica;Pasado;M2-T05-06;M2 · Tiempo II · p.53;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity|time;question|statement;2;sena_documentada;placeholder;;
g091;DENTRO;sena_lexica;Dentro;M2-T20-03;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;denuncias;uso en el grafo;False;place|polarity;question;1;sena_documentada;placeholder;;
g092;VENIR;sena_lexica;Venir;M1-T12-18;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;person|polarity;question;3;sena_documentada;placeholder;;
g093;AQUÍ;sena_lexica;Aquí;M2-T20-09;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;3;sena_documentada;placeholder;;
g094;CARPETA;sena_lexica;Carpeta;M3-T07-08;M3 · Sustantivos III · p.73;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g095;AHORA;sena_lexica;Ahora;M1-T15-08;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question|statement;7;sena_documentada;placeholder;;
g096;FOTOCOPIA;sena_lexica;Fotocopia;M3-T07-06;M3 · Sustantivos III · p.73;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;polarity;question;2;sena_documentada;placeholder;;
g097;AMBOS;sena_lexica;Ambos;M4-T17-07;M4 · Escuela II · p.129;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g098;SEMANA;sena_lexica;Semana;M1-T15-03;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g099;TERMINAR;sena_lexica;Terminar;M2-T02-09;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;object|person|polarity;question;3;sena_documentada;placeholder;;
g100;TOTAL;sena_lexica;Total;M3-T08-23;M3 · Escuela · p.77;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|person|polarity;question|statement;5;sena_documentada;placeholder;;
g101;BUSCAR;sena_lexica;Buscar;M2-T02-15;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;object|person|polarity;question;4;sena_documentada;placeholder;;
g102;AÚN;sena_lexica;Aún;M3-T01-16;M3 · Diálogo · p.37;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question;2;sena_documentada;placeholder;;
g103;SORDO;sena_lexica;Sordo;M3-T01-04;M3 · Diálogo · p.37;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;uso en el grafo;True;free_text|person|polarity;question|statement;2;sena_documentada;placeholder;;
g104;CERCA;sena_lexica;Cerca;M2-T01-14;M2 · Opuestos · p.33;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;True;place;statement;1;sena_documentada;placeholder;;
g105;HABLAR;sena_lexica;Hablar;M1-T12-08;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;institution|polarity;question;6;sena_documentada;placeholder;;
g106;HACER;sena_lexica;Hacer;M3-T14-04;M3 · General I · p.111;trazada en corpus §12;verboAccion;accion;denuncias;uso en el grafo;False;free_text;question;1;sena_documentada;placeholder;;
